task,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal,lt_ank_frontal,lt_ank_transe,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,rt_ank_frontal,rt_ank_transe,lt_plv_sagittal,lt_plv_frontal,lt_plv_transe,rt_plv_sagittal,rt_plv_frontal,rt_plv_transe
0,2.858202788,-9.722556463,11.69407081,-0.905897437,13.90217616,-9.59380369,10.39484588,1.765225193,-20.84365188,12.44968,-12.97100726,-7.069294021,6.682222654,13.55535003,-2.934488003,6.083757336,3.056694004,-8.66051026,8.960077771,3.558156729,4.666636498,7.663107161,-4.218003322,-4.463194107
1,6.077765266,-14.39072303,11.75151065,4.60811857,15.98932699,-11.90739045,10.33333242,1.585110683,-16.38002659,15.20273964,-18.18373308,-8.25493992,14.68024936,10.51257166,-1.805028273,11.49843944,-1.451817703,-8.961872041,13.7511061,-0.02556718,-0.118189822,13.54866837,-3.682511922,-4.13348287
2,11.65926875,-11.08683979,7.04755122,7.567533599,12.93697574,-9.635503435,8.661858402,4.92407327,-21.02098705,14.41706211,-15.50423576,-7.322868188,18.09542038,13.86483972,-3.472789656,8.536996849,2.177180804,-8.910806089,12.9162818,1.123972698,5.776678334,9.605986604,-1.076629698,-0.949309506
3,15.05863066,-17.38291308,8.950017329,9.008127759,18.70494799,-5.924733207,13.40898033,5.263062974,-21.93076371,16.83112059,-20.30373462,-11.96485678,16.57934477,15.0818189,-3.050469445,14.40814436,2.004428254,-4.431280527,9.805806521,4.477351192,6.04534192,15.40935875,-1.582273196,-6.06623924
4,13.77113358,-13.75091897,9.177157798,8.192510664,22.76232664,-3.403488621,9.299369753,6.104931067,-18.81350892,20.68554388,-16.51437969,-11.40845768,20.49005991,13.33337559,2.127381803,9.520868948,-2.312179545,-3.955330209,15.51656201,4.422082576,2.398427373,16.39255478,-5.7460179,-6.458938459
5,17.3559983,-19.98287989,4.973300518,11.7039093,23.56622468,-1.697744645,10.53765184,1.810425266,-22.51164342,27.49294538,-22.25609865,-11.06592472,29.42829608,14.93480559,1.162314881,11.31452948,-1.67971926,-5.422004049,13.46805761,5.305827681,5.423486903,17.08539453,-1.800107713,-5.408532377
6,23.52383375,-21.01748905,4.685027054,19.21860724,27.15894184,0.025784994,14.88121539,0.529087397,-22.24862637,26.80339417,-18.82637457,-5.954299209,28.32063637,20.2738973,6.186554213,16.91999658,2.236145654,-8.799172746,17.06222228,0.5172932,2.698971437,14.24724168,-5.76000188,-2.481935164
7,26.18186917,-22.97135734,3.031535857,21.76307256,29.04380728,2.183422131,12.43490831,5.333965715,-19.39835768,30.76150819,-23.17331171,-10.90567801,34.80673575,21.8329262,7.464514588,13.11648201,3.034410169,-9.640330277,14.69666588,1.840383719,3.222368789,18.09244471,-5.249010893,-2.30591178
8,26.04757813,-24.04546414,3.691663343,24.36369037,27.22856407,-0.83842112,17.83956278,2.370344023,-18.19351614,36.55284014,-24.88230375,-4.614110568,33.17681766,22.67331603,4.603995549,12.74500734,1.804579504,-10.3695519,14.56215222,2.093004285,3.258996442,20.1949309,-6.127015808,-7.143306832
9,28.64774752,-21.86120668,7.502709931,24.56955265,33.55841568,6.63617894,13.64589988,5.49081706,-23.63966025,36.95751645,-26.09055379,-4.09324555,37.62798517,20.65563013,10.0409382,13.80711305,1.857897157,-10.79072589,19.51377053,2.740027426,7.091141719,15.72059176,-6.071046322,-2.696525897
10,30.83117956,-21.75352105,7.595264443,31.80953934,29.93779835,8.705403686,18.64088168,1.770398189,-23.43215325,39.6162232,-27.80339523,-3.646714668,45.00267344,21.90791455,6.681933776,19.37135586,-2.143408296,-6.374163789,22.1271598,2.864739601,4.284895261,20.69416658,-7.034490781,-2.518691981
11,37.74669002,-23.25220406,7.32403482,35.27977472,36.15083064,9.344615257,16.64389874,6.025549933,-23.80999918,46.84421827,-24.53427972,-7.443737075,46.80426993,23.63376899,8.901795784,15.14133893,3.23314877,-5.669233726,23.08151576,1.682548534,7.163093743,18.16110138,-1.640528375,-2.78024037
12,41.11874351,-29.22748278,2.96982478,38.98036575,34.26310433,8.732056449,21.68148678,5.620754464,-19.27509447,50.21968034,-28.19048954,-6.124476626,46.1990572,23.98077493,10.56326715,15.94891937,-2.242705258,-9.407190558,23.09573909,6.493624584,3.434804362,22.41336952,-2.284259812,-7.144406888
13,39.77642547,-32.37330609,2.229665566,38.95170441,35.41889893,11.10956568,21.43798821,6.09330954,-18.49893642,52.27124566,-25.50329092,-2.91828102,54.22676468,30.23164943,16.13995312,20.31146431,2.780327883,-5.542707526,24.53083902,6.60939242,7.396688444,24.9825918,-2.108786338,-4.655852508
14,46.33068384,-28.99394884,5.275512863,41.47775803,40.75803241,13.50207569,23.01012659,1.083747769,-22.51313397,51.14887875,-27.35592703,-1.39627242,54.18888699,29.81556638,18.00837139,17.43936502,3.178939042,-5.112090355,24.73308464,6.933697928,3.988063042,24.42190537,-6.492453026,-7.684216546
15,49.01119571,-35.27036908,6.998609947,46.9366834,38.89313542,18.99342731,22.83783641,2.018692826,-21.97744725,54.07200291,-27.17736095,-1.549129127,60.22502656,27.79887179,14.35432859,18.52151497,-1.588261285,-8.828305582,20.51838086,1.812389104,7.665678446,21.22449032,-3.160305471,-3.754720742
16,50.89143857,-33.11946674,7.054133234,54.45965499,43.22643403,21.61946903,23.79777412,1.889293771,-18.04249558,57.12341521,-32.06919399,-5.631262705,64.70170034,31.79378216,17.3164357,19.36760185,-2.295711881,-9.428474493,26.17448804,2.687223385,3.487749688,25.23477883,-2.779716402,-7.670908611
17,53.05970339,-34.85890498,7.365453239,58.23150168,45.35227714,20.35713793,23.69281277,0.506638167,-16.36843458,64.1729558,-32.1914537,0.456009537,68.58293161,27.33759179,22.46367666,23.83472507,3.291221615,-9.251667364,22.14687053,2.490399696,8.199251632,25.9306478,-6.770363168,-3.567180639
18,50.69912202,-40.40311439,3.142674148,62.65074807,40.87189065,28.34869034,20.05986457,1.589147931,-21.43074868,63.22409512,-33.32259265,-4.338309078,72.58547118,28.2122297,19.31904705,23.63894857,-2.187465629,-9.206261085,27.07800905,3.619157202,8.514612268,24.12173626,-3.679475095,-7.805560435
19,57.8030395,-41.61613366,8.207089753,62.77119891,42.03659974,27.29166422,21.28405508,0.433659615,-15.29397021,64.31119341,-33.60695889,1.658106488,75.45540542,32.59574554,22.64921432,24.43209912,-0.463352237,-6.983409237,27.07585845,2.963656948,4.799390899,27.2096666,-3.001337382,-4.497484647
20,60.71265808,-38.71928102,8.772725675,70.4617157,42.17647291,34.37496707,22.920336,4.330350833,-20.64209503,70.90507496,-34.56059686,2.144883038,75.42824262,31.84695345,22.93799131,26.67519129,-2.0861403,-6.99131055,27.92213219,3.742352176,7.206634366,27.12822713,-6.998448564,-3.403751969
21,63.89968448,-39.14629673,9.588987836,71.08583167,47.81263819,33.16179787,21.91001929,4.896988793,-20.03637799,70.63506665,-36.19084242,2.738707966,81.14311157,33.74058378,28.29567656,21.6970709,2.335794861,-10.07508946,28.98950593,7.148678857,7.939938609,24.1691191,-7.083416394,-7.679924386
22,65.99264284,-41.55773138,6.35723937,73.74473222,48.1028231,38.55206606,27.52921081,0.518896342,-19.62510991,72.18723061,-31.80815304,-1.672509765,80.7017198,28.75260768,27.4084579,23.43703449,3.666696727,-7.630581038,29.03034074,6.69960032,8.298145495,29.29280522,-2.421084196,-7.557632644
23,65.6431154,-46.33942982,7.646781852,81.53765259,47.81763329,42.29597719,23.33084652,0.635439614,-16.30125367,78.47677315,-33.11203806,3.600467514,82.71592655,29.40269841,32.67729407,24.24937967,-1.559412458,-7.77676016,29.02455694,1.86522814,4.74221863,24.39512108,-6.444357416,-3.509664417
