task,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal,lt_ank_frontal,lt_ank_transe,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,rt_ank_frontal,rt_ank_transe,lt_plv_sagittal,lt_plv_frontal,lt_plv_transe,rt_plv_sagittal,rt_plv_frontal,rt_plv_transe
0,9.323744845,-16.07456333,2.663410768,-2.323078554,11.32424662,-13.71609991,8.899857895,0.593247911,-12.73064511,18.47452002,-17.91900102,-10.2456144,7.838016011,12.29425181,-8.158199917,6.082911374,-2.110895471,-6.589679932,13.48778427,5.124291942,4.885269284,12.76761934,-4.772886911,-5.624963258
1,16.09224423,-16.68496706,3.923394813,3.510153588,18.15905523,-16.5609529,8.593848714,3.868343564,-16.06471463,17.74991057,-18.4552824,-9.59828003,14.71736171,17.63227352,-9.933278461,7.428947113,-0.936332785,-10.66035884,18.52183758,-0.052472321,5.457724838,16.93431354,-4.380745086,-0.044727672
2,13.60608033,-13.9170384,2.417066657,7.636067666,17.22065352,-9.372554077,10.5203014,3.682454786,-14.08531426,23.15883479,-16.74194304,-9.548581951,13.55449636,16.23194235,-4.367863789,9.148207318,-0.996354982,-6.204273651,19.12110295,4.029363579,0.41805668,19.26389476,-1.35721314,-1.383077031
3,21.48787042,-18.68900308,3.591840899,9.716022483,19.32091627,-8.752478824,8.578035699,4.414685068,-18.60297361,27.17580328,-16.75278824,-9.581948757,18.11873533,21.15313997,-3.702574507,9.193214788,-1.117140721,-11.83864719,19.54325074,4.492190355,5.268886997,14.35699959,-5.058857805,-0.271142716
4,23.29819424,-21.54940325,5.843679175,9.426830081,26.0743574,-5.828656731,12.7584935,1.071479928,-20.13816855,26.17508145,-21.93988814,-9.137614087,24.39599416,18.35361934,-4.691814524,15.20357872,-1.202961987,-8.621101723,15.90893172,1.05483665,0.570798009,17.01389137,-5.629666166,-5.260576202
5,23.57204371,-22.1809631,5.374977772,12.84647868,24.06769173,-7.01319328,10.91858012,3.983091273,-19.88560458,29.54732072,-22.92332844,-4.854343828,24.54886529,20.52573055,-3.65209802,15.77682313,-1.066607599,-9.556899416,15.97201876,4.54220346,1.551031256,17.840965,-1.225042771,-1.240007564
6,29.89599594,-19.8290765,6.218795111,19.82993846,32.40150549,-4.604791403,11.67858967,1.714593223,-20.49670845,33.60536708,-20.02744466,-7.716188687,34.00482287,21.87111981,3.20446625,12.57869977,4.002338614,-14.19466114,17.84764748,5.18262897,1.735782437,21.49745607,-0.888038377,-5.097712327
7,29.88035604,-26.1258957,0.997238266,20.06111561,33.26070969,2.126747678,12.6332264,1.737312977,-22.05387197,36.04959895,-22.73825799,-6.715476098,38.0034061,27.14375093,6.705846396,19.45273814,-0.114367903,-15.94518203,17.90075204,5.448553263,1.525369395,17.6016546,-2.042302157,-1.273633523
8,32.78875214,-27.7370393,1.65401784,29.3000244,32.16780551,1.218158972,14.42232355,1.859243609,-22.51918776,44.69227865,-27.64602387,-7.385235108,42.64035169,24.50342754,7.345206534,19.21273171,-1.064458064,-16.57499921,22.58269347,5.701281918,5.755962797,19.11374933,-2.433483191,-5.162887508
9,36.68204474,-24.5510543,1.020823465,29.58546452,34.15045343,8.790134433,15.94954083,0.931510028,-17.35002192,47.72225303,-28.99106615,-5.148149613,41.55798901,31.32318176,7.304639044,21.89912763,0.707826955,-12.30567519,20.41638517,6.488539604,6.472025869,24.79767164,-5.899971571,-4.497794028
10,39.74964047,-27.50412167,3.966965265,34.48587158,41.0897719,8.243284463,16.95149375,1.960460212,-19.19161499,47.25365696,-28.56674236,-4.628385919,47.08484706,27.95189337,10.22702958,18.88663871,3.151699701,-13.98958208,24.53098376,5.255696532,1.12366334,21.47654882,-1.210766635,-1.622664049
