lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.27901304  0.10102877 -0.01419816],[ 0.26781988  0.13859182 -0.01869995],[0. 0. 0.],[ 0.18341625  0.08658174 -0.00796752],[ 0.19957158  0.07960127 -0.00797371],[0. 0. 0.],[ 0.3631813  -0.15569552 -0.80346207],[ 0.16065099 -0.05747665 -0.68597527],[0. 0. 0.],[0.14530422 0.13012796 1.46036108],[-0.72504465 -0.31203804  0.78626351],[0. 0. 0.],[-3.11384309 -0.26414535 -1.83363675],[-0.87495555  0.37098841 -0.76311395]
[ 0.28526756  0.10434907 -0.0149988 ],[ 0.25651645  0.13408384 -0.0173178 ],[0. 0. 0.],[ 0.18076148  0.08713435 -0.00790174],[ 0.20721864  0.08101309 -0.00842844],[0. 0. 0.],[ 0.42720883 -0.15718727 -0.69655009],[ 0.12337294 -0.05274967 -0.80732872],[0. 0. 0.],[0.13929488 0.1251309  1.46345761],[-0.72910757 -0.31070832  0.77889314],[0. 0. 0.],[-3.11360984 -0.26629226 -1.83540909],[-0.874809    0.37053034 -0.76237239]
[ 0.27217046  0.10083884 -0.01381951],[ 0.27518209  0.13486423 -0.01870191],[0. 0. 0.],[ 0.18568174  0.08702833 -0.00810815],[ 0.20404187  0.0803369  -0.00822898],[0. 0. 0.],[ 0.54226484 -0.1313473  -0.46464659],[ 0.16124931 -0.08394158 -0.95864012],[0. 0. 0.],[0.1352708 0.1210374 1.4595429],[-0.7158252  -0.30880927  0.78867613],[0. 0. 0.],[-3.11396521 -0.26614072 -1.83048439],[-0.87642341  0.37190416 -0.7635368 ]
[ 0.25603624  0.0984868  -0.01268751],[ 0.27587841  0.127726   -0.0177547 ],[0. 0. 0.],[ 0.18957875  0.08511188 -0.0080968 ],[ 0.19677243  0.07858292 -0.00776047],[0. 0. 0.],[ 0.52186225 -0.13842707 -0.50803013],[ 0.15448534 -0.07742717 -0.92801058],[0. 0. 0.],[0.14832918 0.12967731 1.4363849 ],[-0.68157111 -0.3009787   0.80814092],[0. 0. 0.],[-3.11358404 -0.26867578 -1.82379134],[-0.87757299  0.3721111  -0.76289677]
[ 0.25265343  0.09542342 -0.01212812],[ 0.27494908  0.12805693 -0.0177401 ],[0. 0. 0.],[ 0.18480356  0.08148113 -0.00755465],[ 0.20266913  0.08127525 -0.0082688 ],[0. 0. 0.],[ 0.51612104 -0.14054221 -0.52121494],[ 0.08024462 -0.04460449 -1.01434189],[0. 0. 0.],[0.14741663 0.12846364 1.4331792 ],[-0.68594388 -0.3063791   0.81622462],[0. 0. 0.],[-3.11246478 -0.27083388 -1.8224161 ],[-0.8776768   0.37264894 -0.76382547]
[ 0.2437812   0.08951915 -0.01097312],[ 0.28305774  0.12936444 -0.01845726],[0. 0. 0.],[ 0.18516266  0.07804217 -0.00724961],[ 0.20472851  0.08291397 -0.00852203],[0. 0. 0.],[ 0.49118204 -0.14883476 -0.57822409],[ 0.05841231 -0.03069845 -0.9675828 ],[0. 0. 0.],[0.14977987 0.1303245  1.43165315],[-0.64690452 -0.27572033  0.7848145 ],[0. 0. 0.],[-3.11079532 -0.2709671  -1.81861267],[-0.87684605  0.37391359 -0.76697659]
[ 0.21160128  0.06835292 -0.00726168],[ 0.29212773  0.14982719 -0.02208174],[0. 0. 0.],[ 0.14576268  0.05939445 -0.0043377 ],[ 0.22586858  0.09601953 -0.0108985 ],[0. 0. 0.],[ 0.29334217 -0.14640118 -0.92149942],[-0.03801486  0.0146466  -0.73544735],[0. 0. 0.],[0.16078946 0.13915173 1.42622941],[-0.63077526 -0.27591849  0.804639  ],[0. 0. 0.],[-3.1051433  -0.25760776 -1.82309691],[-0.86502797  0.36827557 -0.76690886]
[ 0.16001244  0.02336569 -0.00187348],[ 0.33187498  0.19935103 -0.03349469],[0. 0. 0.],[ 0.12137759  0.03276697 -0.00199121],[ 0.21604531  0.10848916 -0.0117765 ],[0. 0. 0.],[ 0.23155245 -0.13493434 -1.05268365],[ 0.00270777 -0.00078314 -0.56307459],[0. 0. 0.],[0.14459004 0.12578512 1.43149704],[-0.66232251 -0.31472066  0.86474222],[0. 0. 0.],[-3.09602791 -0.2592134  -1.8284151 ],[-0.85786771  0.36832067 -0.77356676]
[ 0.15847632 -0.02933954  0.00232985],[ 0.33540346  0.25428407 -0.04327491],[0. 0. 0.],[ 0.1010581  -0.00498407  0.00025206],[ 0.24408082  0.14147736 -0.01738075],[0. 0. 0.],[ 0.32253192 -0.18260969 -1.02527075],[-0.05621063  0.01677397 -0.57986846],[0. 0. 0.],[0.14307891 0.12471086 1.43342131],[-0.67561938 -0.3235413   0.86983247],[0. 0. 0.],[-3.08009235 -0.26298362 -1.83160951],[-0.8487601   0.36872185 -0.78283404]
[ 0.18482092 -0.07899742  0.00732482],[ 0.31907818  0.30318915 -0.04915241],[0. 0. 0.],[ 0.0510517  -0.0608249   0.00155342],[ 0.26659667  0.18071984 -0.02429833],[0. 0. 0.],[ 0.52429741 -0.23380134 -0.82509941],[-0.08743462  0.03207635 -0.70287561],[0. 0. 0.],[0.05437185 0.05329272 1.55074107],[-0.84571767 -0.323918    0.69656681],[0. 0. 0.],[-3.05642922 -0.26611027 -1.85561332],[-0.83025249  0.36962227 -0.80231908]
