lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.10974857 -0.04334043  0.00238104],[-0.29873616  0.11563218  0.01742034],[0. 0. 0.],[ 0.22064029 -0.13896557  0.01541771],[-0.64872186  0.23986968  0.08099753],[0. 0. 0.],[ 0.71458737 -0.51700294 -1.23254129],[ 0.11643243 -0.04315937 -0.70932321],[0. 0. 0.],[ 0.62043006 -0.03696342 -0.11519283],[-1.12335819 -0.59968701  0.91331166],[0. 0. 0.],[ 3.10911217 -0.27628119  1.86636937],[-0.64036155 -0.2064412   0.60558766]
[ 0.18473452 -0.05838149  0.00540945],[-0.48876568  0.16598194  0.04147976],[0. 0. 0.],[ 0.08923352 -0.08599516  0.00384174],[-0.46376682  0.18703106  0.04428577],[0. 0. 0.],[ 0.70241484 -0.50579752 -1.22859165],[ 0.11569952 -0.04253319 -0.70394049],[0. 0. 0.],[ 0.60676352 -0.02427974 -0.07752475],[-1.10649095 -0.56588549  0.87999647],[0. 0. 0.],[ 3.11660563 -0.27628435  1.86648538],[-0.62697364 -0.20168347  0.6050942 ]
[ 0.20051426 -0.05004115  0.0050349 ],[-0.46411438  0.15478597  0.03664725],[0. 0. 0.],[ 0.07391917 -0.07467792  0.0027626 ],[-0.44469831  0.18674006  0.04233636],[0. 0. 0.],[ 0.6829808  -0.50245186 -1.25082151],[ 0.1119607  -0.0478556  -0.80724022],[0. 0. 0.],[0.17500267 0.05376241 0.59481595],[-0.90415181 -0.30822518  0.61920657],[0. 0. 0.],[ 3.12517481 -0.27022587  1.86703209],[-0.62377389 -0.20293557  0.61178021]
[ 0.2499594  -0.05325833  0.00669264],[-0.56221785  0.16946408  0.04904127],[0. 0. 0.],[ 0.21587923 -0.11428586  0.01239744],[-0.60679393  0.22833159  0.07176336],[0. 0. 0.],[ 0.67038324 -0.49457358 -1.25427849],[ 0.11026656 -0.04820664 -0.82368641],[0. 0. 0.],[0.10906807 0.04240564 0.74105905],[-0.85290177 -0.24637185  0.53211077],[0. 0. 0.],[ 3.13005858 -0.26252401  1.86364395],[-0.61882852 -0.20270345  0.61601045]
[ 0.30126848 -0.05059821  0.0076816 ],[-0.47498811  0.1395999   0.03384363],[0. 0. 0.],[ 0.27022366 -0.12683299  0.0172644 ],[-0.57956335  0.23241697  0.0695865 ],[0. 0. 0.],[ 0.66292564 -0.49086548 -1.25829264],[ 0.10584673 -0.04591179 -0.81797563],[0. 0. 0.],[0.12176292 0.04815986 0.75256597],[-0.84609823 -0.24724876  0.53856348],[0. 0. 0.],[ 3.1377551  -0.25414688  1.85599227],[-0.61855989 -0.20744808  0.62987401]
[ 0.29029653 -0.03758308  0.00549439],[-0.47475423  0.1333065   0.03229702],[0. 0. 0.],[ 0.25737996 -0.12078488  0.01564889],[-0.5596891   0.23684871  0.06836037],[0. 0. 0.],[ 0.6489821  -0.4838764  -1.26585511],[ 0.09669614 -0.04243696 -0.82665497],[0. 0. 0.],[0.19369679 0.06766736 0.67047395],[-0.84478528 -0.2760805   0.59956954],[0. 0. 0.],[-3.14036953 -0.24050474  1.85653391],[-0.62014863 -0.21044169  0.63679576]
[ 0.26567793 -0.02595143  0.00346797],[-0.44711006  0.12891822  0.02934878],[0. 0. 0.],[ 0.1644705  -0.09426854  0.00777544],[-0.41814211  0.20473023  0.04358338],[0. 0. 0.],[ 0.62650116 -0.48100515 -1.29611075],[ 0.07888172 -0.03366884 -0.80652789],[0. 0. 0.],[0.26178778 0.09816972 0.71430079],[-0.87268525 -0.26009593  0.54687813],[0. 0. 0.],[-3.13547338 -0.22597113  1.85694131],[-0.62472893 -0.21572483  0.64705039]
[ 0.26333844 -0.02153653  0.00285231],[-0.54159376  0.15098266  0.04198887],[0. 0. 0.],[ 0.16183894 -0.0924142   0.00749978],[-0.41481636  0.20442991  0.04316283],[0. 0. 0.],[ 0.61196118 -0.47309905 -1.30365846],[ 0.08334425 -0.03379634 -0.77014551],[0. 0. 0.],[0.42369689 0.13007615 0.5880901 ],[-0.94135543 -0.36081089  0.68837363],[0. 0. 0.],[-3.13288252 -0.22267215  1.85480996],[-0.61950384 -0.21374001  0.64684031]
[ 0.2523159  -0.01913242  0.00242667],[-0.54546709  0.15882526  0.04451022],[0. 0. 0.],[ 0.1590822  -0.08982465  0.00716464],[-0.44086595  0.21055835  0.04734691],[0. 0. 0.],[ 0.59492696 -0.46366583 -1.3124681 ],[ 0.07449461 -0.03101408 -0.78873105],[0. 0. 0.],[0.76896473 0.03977347 0.09823234],[-1.00660078 -0.59879729  1.02192743],[0. 0. 0.],[-3.13065634 -0.20780514  1.85525336],[-0.62222675 -0.21595876  0.65029929]
[ 0.24765565 -0.01645357  0.00204793],[-0.54335892  0.16206777  0.04523811],[0. 0. 0.],[ 0.16526716 -0.09019886  0.0074755 ],[-0.44606708  0.20878484  0.04751765],[0. 0. 0.],[ 0.59499848 -0.46296831 -1.31083613],[ 0.07555778 -0.03009458 -0.75780278],[0. 0. 0.],[0.81038985 0.00358172 0.00835033],[-1.01595946 -0.6339871   1.06499553],[0. 0. 0.],[-3.12939074 -0.20782169  1.85010172],[-0.62054619 -0.21646125  0.65347167]
