lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.20862192  0.08847226 -0.00926822],[ 0.24408601  0.1308222  -0.01606826],[0. 0. 0.],[ 0.1170734   0.06669294 -0.00390989],[ 0.18700967  0.09425922 -0.00884596],[0. 0. 0.],[0.51176159 0.00936336 0.03578697],[ 0.3487343  -0.25488847 -1.25777996],[0. 0. 0.],[0.23961341 0.21206909 1.44794876],[-0.47932476 -0.22980558  0.8824891 ],[0. 0. 0.],[-3.12654146 -0.22141953 -1.80629863],[-0.88501491  0.35978671 -0.73291468]
[ 0.20824756  0.08861294 -0.0092662 ],[ 0.24479487  0.13047166 -0.01607208],[0. 0. 0.],[ 0.11445124  0.06605562 -0.00378558],[ 0.1921655   0.09520765 -0.00918294],[0. 0. 0.],[0.56916352 0.07463734 0.25389734],[ 0.54297936 -0.32061327 -1.05247783],[0. 0. 0.],[0.2405724  0.21281658 1.44746475],[-0.45282045 -0.20503185  0.84002999],[0. 0. 0.],[-3.1272909  -0.22145642 -1.80443636],[-0.88605679  0.36048471 -0.73333966]
[ 0.18872973  0.09207215 -0.00872036],[ 0.26774562  0.12566567 -0.01694635],[0. 0. 0.],[ 0.09189033  0.05837987 -0.00268492],[ 0.2326832   0.10767083 -0.01259543],[0. 0. 0.],[0.57432258 0.08306173 0.27958268],[ 0.57827635 -0.31027586 -0.96805607],[0. 0. 0.],[0.24147678 0.21365339 1.44762891],[-0.446153   -0.19956546  0.83123109],[0. 0. 0.],[-3.12795627 -0.2210001  -1.80363252],[-0.88727532  0.36084032 -0.73296176]
[ 0.18864509  0.09434556 -0.00893197],[ 0.26511121  0.12044168 -0.01607849],[0. 0. 0.],[ 0.08999914  0.05589019 -0.00251739],[ 0.25389461  0.11223545 -0.01433983],[0. 0. 0.],[0.57151412 0.07320913 0.24801418],[ 0.53660646 -0.31659591 -1.05210827],[0. 0. 0.],[0.24182009 0.21377223 1.44676127],[-0.44311849 -0.19962548  0.83668007],[0. 0. 0.],[-3.12779521 -0.22039964 -1.80238169],[-0.8883266   0.36160876 -0.73350991]
[ 0.18898158  0.09406037 -0.0089209 ],[ 0.27011778  0.12191439 -0.01658664],[0. 0. 0.],[ 0.09010696  0.0550496  -0.00248248],[ 0.26777817  0.11570601 -0.0156021 ],[0. 0. 0.],[0.56367655 0.05959146 0.20514863],[ 0.50839283 -0.30781627 -1.07655984],[0. 0. 0.],[0.23827081 0.21076307 1.44740195],[-0.43222667 -0.19109552  0.82321457],[0. 0. 0.],[-3.1275759  -0.22087884 -1.80264527],[-0.88863955  0.3618693  -0.73373285]
[ 0.19827966  0.09097031 -0.00905463],[ 0.26733092  0.12697262 -0.01709622],[0. 0. 0.],[ 0.09099241  0.05100456 -0.00232262],[ 0.27054146  0.11915778 -0.01623646],[0. 0. 0.],[0.55506587 0.04827197 0.16907262],[ 0.44598866 -0.30283959 -1.18459405],[0. 0. 0.],[0.23929464 0.21144093 1.44631665],[-0.43199659 -0.19187278  0.82661782],[0. 0. 0.],[-3.12639337 -0.22035209 -1.800029  ],[-0.88799428  0.36237682 -0.73525029]
[ 0.19912953  0.08951109 -0.00894763],[ 0.26754384  0.12730547 -0.01715497],[0. 0. 0.],[ 0.08818554  0.04967477 -0.00219217],[ 0.27052829  0.11937919 -0.0162659 ],[0. 0. 0.],[0.55310522 0.04665445 0.16403817],[ 0.44216163 -0.30054137 -1.18568117],[0. 0. 0.],[0.24035673 0.21221858 1.44555006],[-0.43157704 -0.19162106  0.82638364],[0. 0. 0.],[-3.12603414 -0.21970965 -1.79885737],[-0.88772784  0.36225149 -0.7352435 ]
[ 0.16683868  0.07906584 -0.00661438],[ 0.284171    0.14008117 -0.02007069],[0. 0. 0.],[ 0.06680217  0.04228192 -0.001413  ],[ 0.27370467  0.12275107 -0.01692529],[0. 0. 0.],[0.55083523 0.04450464 0.15718463],[ 0.43950548 -0.2980541  -1.18363317],[0. 0. 0.],[0.24155403 0.21324969 1.44541743],[-0.43547794 -0.19260022  0.82332984],[0. 0. 0.],[-3.12543693 -0.21997828 -1.79663705],[-0.88743137  0.36295607 -0.73683369]
[ 0.16319751  0.07487702 -0.00612631],[ 0.28717206  0.14077335 -0.02038612],[0. 0. 0.],[ 0.06652049  0.04144783 -0.00137927],[ 0.276617    0.12267497 -0.01709704],[0. 0. 0.],[0.51873143 0.0122521  0.04616702],[ 0.26713648 -0.22496042 -1.39808428],[0. 0. 0.],[0.24747764 0.21717683 1.43938709],[-0.43718192 -0.19401795  0.82578806],[0. 0. 0.],[-3.1253425  -0.22071108 -1.79191463],[-0.88879455  0.36327709 -0.73626062]
[ 0.1589979   0.06964101 -0.00555031],[ 0.29637022  0.14389322 -0.0215166 ],[0. 0. 0.],[ 0.07077378  0.0401819  -0.0014227 ],[ 0.27572373  0.12228086 -0.01698625],[0. 0. 0.],[ 0.45031127 -0.0325872  -0.14205108],[ 0.14772706 -0.12002084 -1.36396644],[0. 0. 0.],[0.24905738 0.218304   1.43818653],[-0.43765936 -0.19431769  0.82610153],[0. 0. 0.],[-3.12414158 -0.22094128 -1.78874158],[-0.8880952   0.36434707 -0.73888875]
[ 0.1641839   0.06555834 -0.00539585],[ 0.29741414  0.14659437 -0.02200027],[0. 0. 0.],[ 0.07731886  0.03343162 -0.00129321],[ 0.27386921  0.1266586  -0.0174761 ],[0. 0. 0.],[ 0.19942975 -0.06699739 -0.64642034],[ 0.01433239 -0.00774698 -0.99106529],[0. 0. 0.],[0.23737357 0.21120063 1.45325713],[-0.51035796 -0.26306969  0.93870588],[0. 0. 0.],[-3.12019833 -0.21685717 -1.79364987],[-0.88329797  0.36355461 -0.74156562]
[ 0.18232659  0.05975175 -0.00546392],[ 0.28064894  0.1418174  -0.02006508],[0. 0. 0.],[ 0.09165394  0.02841734 -0.00130328],[ 0.27581243  0.13073688 -0.01816999],[0. 0. 0.],[ 0.15367863 -0.06460982 -0.79481371],[-0.06359938  0.02988286 -0.87829155],[0. 0. 0.],[0.23124144 0.20594292 1.45427079],[-0.51670997 -0.26501926  0.93430772],[0. 0. 0.],[-3.11606662 -0.21699932 -1.79617722],[-0.87925304  0.36232343 -0.74276512]
[ 0.17790661  0.02758121 -0.00246009],[ 0.28056436  0.15936673 -0.02255092],[0. 0. 0.],[ 0.11154732  0.02190329 -0.00122294],[ 0.25779003  0.12978381 -0.016845  ],[0. 0. 0.],[ 0.26346885 -0.09493449 -0.68846796],[ 0.0227434  -0.01098782 -0.90008163],[0. 0. 0.],[0.23687646 0.22479656 1.51801029],[-0.66502114 -0.28664691  0.79167588],[0. 0. 0.],[-3.10822234 -0.23437048 -1.80362674],[-0.87921965  0.369652   -0.75674985]
[ 1.90292193e-01  7.62518638e-04 -7.27703995e-05],[ 0.28179971  0.18437421 -0.02622442],[0. 0. 0.],[ 0.10862018 -0.01195965  0.00065018],[ 0.2651361   0.15669121 -0.02093689],[0. 0. 0.],[ 0.3766276  -0.12906458 -0.65385472],[ 0.01151017 -0.00561135 -0.90720884],[0. 0. 0.],[0.21221916 0.20803314 1.5507282 ],[-0.75208151 -0.30507568  0.74260695],[0. 0. 0.],[-3.09071896 -0.23583139 -1.82014342],[-0.86731243  0.36646632 -0.76134874]
[ 0.14847554 -0.07294213  0.00542742],[ 0.31154668  0.25706706 -0.04058949],[0. 0. 0.],[ 0.09341612 -0.04189217  0.00195841],[ 0.26148152  0.16747376 -0.02207198],[0. 0. 0.],[ 0.51988271 -0.13090399 -0.48327001],[ 0.05598982 -0.03045994 -0.99633639],[0. 0. 0.],[0.17727234 0.18491168 1.61320618],[-0.90285821 -0.34964544  0.69873693],[0. 0. 0.],[-3.07224719 -0.24297053 -1.82167944],[-0.85831939  0.36879216 -0.77406415]
[ 0.13064208 -0.14512185  0.00950964],[ 0.29923221  0.31382162 -0.04768934],[0. 0. 0.],[ 0.05895332 -0.07880726  0.00232485],[ 0.23306816  0.1686055  -0.01978396],[0. 0. 0.],[ 0.67040951 -0.09953284 -0.28403695],[ 0.09922328 -0.06150402 -1.10932883],[0. 0. 0.],[0.125612   0.13421334 1.63716696],[-0.87551647 -0.32475836  0.67337198],[0. 0. 0.],[-3.0538146  -0.27583443 -1.81037304],[-0.86107824  0.39326667 -0.81850775]
