lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.24218203 -0.07444366  0.0090629 ],[-0.47850073  0.18018537  0.0440634 ],[0. 0. 0.],[ 0.19739987 -0.17263737  0.01713701],[-0.61979359  0.31401054  0.10129821],[0. 0. 0.],[ 0.76510235 -0.50033464 -1.13156113],[ 0.26067018 -0.06187078 -0.4636752 ],[0. 0. 0.],[0.03706649 0.01275139 0.66260227],[-0.68344995 -0.12803393  0.35663444],[0. 0. 0.],[ 3.1247398  -0.30518847  1.85811671],[-0.60008692 -0.18903724  0.59467068]
[ 0.2517221  -0.07313841  0.00925826],[-0.48587012  0.18049098  0.04484535],[0. 0. 0.],[ 0.15813344 -0.14004956  0.01111445],[-0.54648134  0.27570807  0.07772129],[0. 0. 0.],[ 0.75806172 -0.49828396 -1.136926  ],[ 0.25734997 -0.05989278 -0.45500838],[0. 0. 0.],[0.35677611 0.06368125 0.34969846],[-0.91934112 -0.37215067  0.72678264],[0. 0. 0.],[ 3.12845133 -0.30607086  1.85748801],[-0.59565862 -0.18884891  0.59852735]
[ 0.29651479 -0.08744735  0.01306869],[-0.53115373  0.19476456  0.05313195],[0. 0. 0.],[ 0.18309356 -0.11503275  0.01057196],[-0.52379246  0.22834015  0.06145525],[0. 0. 0.],[ 0.75807441 -0.49358398 -1.12796615],[ 0.25904932 -0.06233487 -0.46987897],[0. 0. 0.],[0.38778196 0.05396504 0.27318512],[-0.91658793 -0.41166894  0.80074529],[0. 0. 0.],[ 3.13246428 -0.30776874  1.84787973],[-0.58778264 -0.19062638  0.61192254]
[ 0.29937663 -0.08446399  0.01274596],[-0.52936992  0.19446938  0.05286426],[0. 0. 0.],[ 0.23014199 -0.12157279  0.01406868],[-0.53398993  0.22488098  0.06175162],[0. 0. 0.],[ 0.76377556 -0.49702516 -1.12703803],[ 0.26515285 -0.06318618 -0.46537883],[0. 0. 0.],[0.41507272 0.06384706 0.30102234],[-0.94857046 -0.42823139  0.8013221 ],[0. 0. 0.],[ 3.13588524 -0.3094512   1.84101239],[-0.58214909 -0.19160828  0.62080836]
[ 0.30270625 -0.07404734  0.01129871],[-0.53490142  0.18500807  0.05082923],[0. 0. 0.],[ 0.26995268 -0.12459954  0.01694239],[-0.55519782  0.22744002  0.06506838],[0. 0. 0.],[ 0.75479234 -0.4964423  -1.137746  ],[ 0.26554247 -0.06451152 -0.47410885],[0. 0. 0.],[0.11570403 0.04105422 0.68131154],[-0.81803299 -0.23228944  0.52585343],[0. 0. 0.],[-3.14113198 -0.30616063  1.83728752],[-0.57860604 -0.1941965   0.63251491]
[ 0.31863433 -0.06880737  0.01106014],[-0.61649194  0.19891656  0.06352225],[0. 0. 0.],[ 0.2741834  -0.12267719  0.01694503],[-0.57813426  0.24707285  0.0738213 ],[0. 0. 0.],[ 0.7136083  -0.48332498 -1.16845978],[ 0.24365249 -0.05583307 -0.44847844],[0. 0. 0.],[0.00388534 0.00180994 0.87189363],[-0.71796955 -0.13687303  0.36134397],[0. 0. 0.],[-3.13525698 -0.26488398  1.83740571],[-0.59175353 -0.2034397   0.64624024]
[ 0.31841839 -0.06229355  0.01000551],[-0.46860814  0.17285114  0.04135463],[0. 0. 0.],[ 0.27677079 -0.1245435   0.01736789],[-0.50772849  0.24901777  0.06492384],[0. 0. 0.],[ 0.71300575 -0.48335939 -1.16937541],[ 0.23248521 -0.05353694 -0.45080253],[0. 0. 0.],[0.0138703  0.00650646 0.877226  ],[-0.72269671 -0.13810215  0.36198151],[0. 0. 0.],[-3.12941398 -0.26503602  1.83249314],[-0.58765131 -0.20439301  0.65355233]
[ 0.31986987 -0.06091091  0.00982866],[-0.46543191  0.17295207  0.04108808],[0. 0. 0.],[ 0.24920213 -0.11607682  0.0145547 ],[-0.44966702  0.23693278  0.05442805],[0. 0. 0.],[ 0.71597614 -0.48934586 -1.17700457],[ 0.24013783 -0.06641271 -0.53734913],[0. 0. 0.],[-0.11334982 -0.06211236  1.00193555],[-0.63982983 -0.0904551   0.27154038],[0. 0. 0.],[-3.12741017 -0.26626159  1.83505249],[-0.5838222  -0.20297034  0.65348747]
[ 0.2861988  -0.04781914  0.00689127],[-0.44834916  0.17047913  0.0389599 ],[0. 0. 0.],[ 0.19292084 -0.09626574  0.00932187],[-0.37519362  0.21398041  0.04076972],[0. 0. 0.],[ 0.70118883 -0.4933652  -1.20602565],[ 0.23072191 -0.07079276 -0.59316717],[0. 0. 0.],[-0.12050477 -0.0671539   1.0161078 ],[-0.61996081 -0.08374684  0.26013492],[0. 0. 0.],[-3.12434286 -0.25463078  1.84132303],[-0.58804875 -0.20583748  0.65743835]
[ 0.25952959 -0.03953465  0.00515986],[-0.45215674  0.17807386  0.04106167],[0. 0. 0.],[ 0.18791225 -0.0893764   0.00842782],[-0.37160723  0.20620179  0.03889313],[0. 0. 0.],[ 0.70294738 -0.49486564 -1.20643741],[ 0.22007173 -0.06765912 -0.59448281],[0. 0. 0.],[-0.12836843 -0.07260203  1.02864406],[-0.61567426 -0.07823111  0.24494629],[0. 0. 0.],[-3.12245794 -0.25074314  1.84036058],[-0.58823895 -0.20668319  0.6597558 ]
