lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.15862605  0.00653309 -0.00051925],[-0.55017857  0.12916014  0.03650152],[0. 0. 0.],[ 0.27095223 -0.15165589  0.02071135],[-0.7227803   0.27957644  0.10627095],[0. 0. 0.],[ 0.51247317 -0.41471036 -1.35311831],[ 0.06671219 -0.02610548 -0.74578082],[0. 0. 0.],[-2.81930309e-04 -2.31917429e-04  1.37674723e+00],[-0.63853098  0.02847144 -0.0860798 ],[0. 0. 0.],[-3.1315931  -0.27600486  1.82994212],[-0.59554187 -0.19850334  0.62750763]
[ 0.15912375  0.00855267 -0.00068191],[-0.55287062  0.12986215  0.03688942],[0. 0. 0.],[ 0.23749524 -0.14124816  0.01687984],[-0.66450557  0.27437731  0.0951987 ],[0. 0. 0.],[ 0.49998726 -0.40744084 -1.36050479],[ 0.06875388 -0.02673484 -0.74148626],[0. 0. 0.],[0.32851386 0.20794184 1.12372125],[-0.90438676 -0.18176061  0.37089774],[0. 0. 0.],[-3.12897397 -0.27599696  1.82978717],[-0.59123063 -0.19739682  0.62873194]
[ 0.15112452  0.01422494 -0.00107694],[-0.55230037  0.13050856  0.03703327],[0. 0. 0.],[ 0.26153746 -0.14471089  0.01906498],[-0.71811407  0.28634417  0.10810759],[0. 0. 0.],[ 0.47656098 -0.39863599 -1.38747095],[ 0.05387565 -0.02173818 -0.76687875],[0. 0. 0.],[0.2824991  0.18827696 1.17229947],[-0.87546139 -0.1553464   0.3295818 ],[0. 0. 0.],[-3.12489859 -0.26578034  1.83115421],[-0.59058311 -0.19893918  0.63404229]
[ 0.12396318  0.02169334 -0.00134636],[-0.53497543  0.12931445  0.03548505],[0. 0. 0.],[ 0.21105921 -0.12921     0.01370518],[-0.65005944  0.27579006  0.09346145],[0. 0. 0.],[ 0.43344037 -0.38795979 -1.4570144 ],[-0.06143326  0.03511909 -1.03846248],[0. 0. 0.],[0.22989791 0.14474652 1.12141188],[-0.81141306 -0.17843919  0.41065862],[0. 0. 0.],[-3.12315434 -0.24764729  1.83300614],[-0.60149599 -0.20479844  0.63986181]
[ 0.14444391  0.01675263 -0.00121204],[-0.56877873  0.14259261  0.04174633],[0. 0. 0.],[ 0.18710738 -0.11308396  0.01062162],[-0.60806103  0.25579308  0.08065386],[0. 0. 0.],[ 0.43960641 -0.39455827 -1.45971611],[-0.07648891  0.04321002 -1.02816563],[0. 0. 0.],[0.28635988 0.16627532 1.04818775],[-0.8286299  -0.20720809  0.46433894],[0. 0. 0.],[-3.12040722 -0.2477911   1.83163653],[-0.59838825 -0.20425671  0.64155775]
[ 0.1110485   0.02949827 -0.00163967],[-0.45019848  0.12208237  0.02798734],[0. 0. 0.],[ 0.18592125 -0.10346018  0.00965406],[-0.57309787  0.24148751  0.07147367],[0. 0. 0.],[ 0.4420397  -0.39684052 -1.45993289],[-0.09712668  0.05440313 -1.02070734],[0. 0. 0.],[0.73903279 0.18169681 0.46202541],[-0.80092295 -0.49557191  1.07730059],[0. 0. 0.],[-3.11579823 -0.23970488  1.82505336],[-0.5971483  -0.20649247  0.64947877]
[ 0.10338193  0.03764609 -0.00194793],[-0.41560766  0.11397561  0.02405637],[0. 0. 0.],[ 0.20308236 -0.09485654  0.00967226],[-0.60098369  0.23536227  0.07323874],[0. 0. 0.],[ 0.43217515 -0.39385372 -1.47539852],[-0.128594    0.08029901 -1.11563414],[0. 0. 0.],[0.72326368 0.17249621 0.44943019],[-0.78240424 -0.49412577  1.09765031],[0. 0. 0.],[-3.11275964 -0.23509738  1.82660899],[-0.5984666  -0.20807924  0.65273204]
[ 0.08346021  0.04670151 -0.00195034],[-0.33787709  0.09881632  0.01686786],[0. 0. 0.],[ 0.20058469 -0.0919854   0.00926295],[-0.54104189  0.22502709  0.06264848],[0. 0. 0.],[ 0.43548004 -0.39515702 -1.47094838],[-0.12419864  0.07767774 -1.11711459],[0. 0. 0.],[0.01919949 0.01378453 1.24534658],[-0.66860092 -0.09052777  0.25934844],[0. 0. 0.],[-3.11107058 -0.23326142  1.82556543],[-0.59790163 -0.2099178   0.65874692]
[ 0.09025394  0.04681815 -0.00211458],[-0.34263291  0.10046487  0.01739586],[0. 0. 0.],[ 0.18211846 -0.08475134  0.00774339],[-0.51250207  0.2194774   0.05772147],[0. 0. 0.],[ 0.42485217 -0.38966494 -1.48202361],[-0.10813194  0.06502751 -1.08230541],[0. 0. 0.],[0.020822   0.01465737 1.22670911],[-0.6676516  -0.0968259   0.27761543],[0. 0. 0.],[-3.10957358 -0.23370612  1.82879344],[-0.59651544 -0.20924548  0.6582779 ]
[ 0.06896964  0.05075142 -0.00175122],[-0.3125331   0.09612101  0.01515535],[0. 0. 0.],[ 0.15856798 -0.07782064  0.00618599],[-0.47087404  0.21199682  0.05103527],[0. 0. 0.],[ 0.42372079 -0.38927794 -1.48374599],[-0.10074906  0.05824795 -1.04790663],[0. 0. 0.],[0.02717071 0.01890674 1.21584108],[-0.68235315 -0.09912047  0.27759674],[0. 0. 0.],[-3.1085851  -0.2369837   1.83048614],[-0.59378477 -0.20775595  0.65685666]
