lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.15709848 -0.05206769  0.00409923],[-0.50827537  0.16204242  0.04217727],[0. 0. 0.],[-0.02128027 -0.13618393 -0.00145131],[-0.48577611  0.28393109  0.0707993 ],[0. 0. 0.],[ 0.597243   -0.4688861  -1.31971313],[ 0.18239603 -0.07868704 -0.81292703],[0. 0. 0.],[0.0415512  0.02168916 0.96207728],[-0.8181885  -0.14124557  0.32347707],[0. 0. 0.],[ 3.10662195 -0.24469903  1.87778793],[-0.66681236 -0.20731351  0.58359735]
[ 0.1613872  -0.04950778  0.00400447],[-0.51001052  0.16190513  0.04229163],[0. 0. 0.],[-0.01531881 -0.12342164 -0.00094656],[-0.49216551  0.27286804  0.06893833],[0. 0. 0.],[ 0.59225666 -0.46497257 -1.31991217],[ 0.18021159 -0.07776645 -0.81317   ],[0. 0. 0.],[0.02613444 0.01494971 1.03916721],[-0.81402765 -0.11170334  0.25795095],[0. 0. 0.],[ 3.11035991 -0.24470494  1.87781939],[-0.6599798  -0.20541852  0.58461606]
[ 0.16525771 -0.04702336  0.00389507],[-0.4467461   0.16308527  0.03712514],[0. 0. 0.],[-0.00958341 -0.09780394 -0.00046903],[-0.45391358  0.24936851  0.0578722 ],[0. 0. 0.],[ 0.58884571 -0.46739357 -1.33107952],[ 0.17813773 -0.07411142 -0.78695123],[0. 0. 0.],[-0.10603913 -0.06842656  1.14562298],[-0.702231   -0.06083645  0.16575745],[0. 0. 0.],[ 3.12111582 -0.24027377  1.87707389],[-0.65068383 -0.20796192  0.60005083]
[ 0.16911385 -0.040561    0.00343838],[-0.43978954  0.15503372  0.03471751],[0. 0. 0.],[ 0.00494629 -0.06317641  0.0001563 ],[-0.3930772   0.18689942  0.03731771],[0. 0. 0.],[ 0.59163292 -0.46828425 -1.32813445],[ 0.1760827  -0.06760799 -0.73172227],[0. 0. 0.],[-0.23067372 -0.16201265  1.2224742 ],[-0.57647344 -0.01878277  0.06333037],[0. 0. 0.],[ 3.12772063 -0.24112833  1.8743283 ],[-0.64197498 -0.20764693  0.60739334]
[ 0.17161428 -0.03293209  0.00283302],[-0.4247474   0.1436458   0.03102454],[0. 0. 0.],[ 0.01050255 -0.05847967  0.00030718],[-0.38085363  0.18046636  0.03487833],[0. 0. 0.],[ 0.60039932 -0.46682869 -1.30988257],[ 0.16390187 -0.05643948 -0.66204766],[0. 0. 0.],[-0.24835657 -0.17686414  1.23524567],[-0.54573132 -0.01813502  0.06478273],[0. 0. 0.],[ 3.13157085 -0.24126081  1.8722789 ],[-0.63610423 -0.20747389  0.61255099]
[ 0.21937332 -0.04177697  0.0046015 ],[-0.47943617  0.15244873  0.0373292 ],[0. 0. 0.],[ 0.07120705 -0.08220966  0.00292984],[-0.42949289  0.20496401  0.04485426],[0. 0. 0.],[ 0.599951   -0.46616357 -1.30922077],[ 0.1607869  -0.05518601 -0.66008393],[0. 0. 0.],[-0.24911966 -0.177678    1.23667697],[-0.54758213 -0.01622412  0.05775438],[0. 0. 0.],[ 3.1341067  -0.24026158  1.86736599],[-0.63274487 -0.20885099  0.61967677]
[ 0.24407364 -0.04472411  0.00548615],[-0.5193676   0.16388987  0.04363355],[0. 0. 0.],[ 0.161772   -0.10852714  0.00880611],[-0.55610228  0.24263122  0.06957169],[0. 0. 0.],[ 0.59155793 -0.463642   -1.31824734],[ 0.16382327 -0.05416281 -0.63741977],[0. 0. 0.],[-0.16215611 -0.11327818  1.21848208],[-0.62194499 -0.03368245  0.10471325],[0. 0. 0.],[ 3.13960003 -0.23989708  1.86793061],[-0.62772209 -0.20830818  0.62311245]
[ 0.25614928 -0.0428262   0.00551597],[-0.53131942  0.15864937  0.04325109],[0. 0. 0.],[ 0.15453921 -0.10684014  0.0082798 ],[-0.54721603  0.24762939  0.06982523],[0. 0. 0.],[ 0.59093077 -0.46701912 -1.32663321],[ 0.15040452 -0.04742756 -0.60995358],[0. 0. 0.],[-0.0537504  -0.03475322  1.14778803],[-0.72354996 -0.06928083  0.18263793],[0. 0. 0.],[-3.13931745 -0.24014168  1.86806478],[-0.62439093 -0.20806094  0.62573673]
[ 0.26360378 -0.04610434  0.00611314],[-0.53169272  0.15601421  0.04256129],[0. 0. 0.],[ 0.13333892 -0.10185969  0.00680687],[-0.51661453  0.24385799  0.06472826],[0. 0. 0.],[ 0.60569402 -0.47740338 -1.32335335],[ 0.15155486 -0.04740493 -0.60531443],[0. 0. 0.],[-0.06328713 -0.03944164  1.11444958],[-0.69296717 -0.06591675  0.18213127],[0. 0. 0.],[-3.13700255 -0.24196288  1.86901014],[-0.62098113 -0.20711465  0.62647222]
[ 0.21651101 -0.02713567  0.00294929],[-0.43778769  0.13156535  0.02930799],[0. 0. 0.],[ 0.03967251 -0.06906794  0.00137077],[-0.35175187  0.20383266  0.03634546],[0. 0. 0.],[ 0.61589812 -0.48417021 -1.32029029],[ 0.15043019 -0.04599196 -0.59246548],[0. 0. 0.],[-0.18138819 -0.121725    1.18069793],[-0.57899498 -0.03059206  0.10262209],[0. 0. 0.],[-3.13414793 -0.2431794   1.86814281],[-0.61728141 -0.20677312  0.6292407 ]
