lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.22816695  0.10468416 -0.01200564],[ 0.27858716  0.12992829 -0.01824131],[0. 0. 0.],[ 0.19561745  0.07862171 -0.00771844],[ 0.19113457  0.10234389 -0.00981911],[0. 0. 0.],[ 0.22355097 -0.1465264  -1.15820714],[-0.01059979  0.00299489 -0.55072499],[0. 0. 0.],[0.15218123 0.14042162 1.49017372],[-0.91902123 -0.30924075  0.61028508],[0. 0. 0.],[-3.11749527 -0.27259303 -1.83359462],[-0.87673017  0.37176414 -0.76299447]
[ 0.22634305  0.10383066 -0.01181158],[ 0.270042    0.1258107  -0.01711324],[0. 0. 0.],[ 0.18952482  0.07599968 -0.007227  ],[ 0.20153222  0.10528106 -0.01065456],[0. 0. 0.],[ 0.2330626  -0.15054792 -1.14463856],[-0.02403615  0.00708447 -0.5732283 ],[0. 0. 0.],[0.15259148 0.14080182 1.49018386],[-0.917652   -0.30901843  0.61085407],[0. 0. 0.],[-3.11734432 -0.27256086 -1.8324962 ],[-0.8767416   0.37213983 -0.76369886]
[ 0.22600882  0.10327644 -0.01173092],[ 0.26896984  0.12455818 -0.01687434],[0. 0. 0.],[ 0.18509573  0.07326205 -0.00680269],[ 0.2024866   0.10430483 -0.01060591],[0. 0. 0.],[ 0.23547375 -0.15039114 -1.13425287],[-0.02935838  0.00890563 -0.58900365],[0. 0. 0.],[0.15968644 0.14697751 1.4876341 ],[-0.91343439 -0.31097098  0.61760858],[0. 0. 0.],[-3.11669635 -0.26736594 -1.83084103],[-0.87474011  0.37028726 -0.76197071]
[ 0.21776398  0.09440491 -0.01032739],[ 0.26331652  0.12617373 -0.01673028],[0. 0. 0.],[ 0.18867624  0.07016736 -0.00664186],[ 0.19668398  0.10122983 -0.00999581],[0. 0. 0.],[ 0.21920878 -0.14264716 -1.15166734],[-0.02845412  0.00845508 -0.5776423 ],[0. 0. 0.],[0.16594683 0.15221964 1.48419673],[-0.90536028 -0.30952476  0.62079752],[0. 0. 0.],[-3.11431254 -0.26322608 -1.82564733],[-0.87240639  0.36991558 -0.76336386]
[ 0.19244767  0.08593711 -0.00829988],[ 0.2861922   0.13370294 -0.01929219],[0. 0. 0.],[ 0.18910902  0.06777791 -0.00643031],[ 0.21692519  0.10642845 -0.01159981],[0. 0. 0.],[ 0.14335032 -0.10160484 -1.23239251],[-0.03060416  0.00802587 -0.51290916],[0. 0. 0.],[0.17291293 0.1596961  1.49099806],[-0.94006178 -0.3406373   0.65287591],[0. 0. 0.],[-3.11173678 -0.24832977 -1.82634093],[-0.86458163  0.36717143 -0.76518613]
[ 0.17077262  0.06181046 -0.0052923 ],[ 0.31861801  0.15528654 -0.02499893],[0. 0. 0.],[ 0.18280832  0.05721063 -0.00524532],[ 0.22303799  0.11292004 -0.01265848],[0. 0. 0.],[ 0.11371899 -0.08399794 -1.27191957],[-0.03594449  0.00875808 -0.4779507 ],[0. 0. 0.],[0.1668176  0.15459205 1.49443093],[-0.94698507 -0.33799278  0.64292024],[0. 0. 0.],[-3.10632333 -0.24777941 -1.82755599],[-0.8595069   0.36577047 -0.76711007]
[ 0.13923021  0.01488173 -0.00103769],[ 0.34271359  0.20381859 -0.03539053],[0. 0. 0.],[ 0.1256813   0.02575653 -0.00162078],[ 0.22839844  0.12623833 -0.01449832],[0. 0. 0.],[ 0.15566231 -0.10978235 -1.22753658],[-0.01610826  0.00418058 -0.50784654],[0. 0. 0.],[0.16247033 0.15040574 1.49339943],[-0.93374865 -0.32077026  0.62113982],[0. 0. 0.],[-3.09729524 -0.24917375 -1.82959448],[-0.85332781  0.36454668 -0.77041373]
[ 0.13151521 -0.05529764  0.00364241],[ 0.35920294  0.27140409 -0.0495701 ],[0. 0. 0.],[ 0.10034352 -0.02124186  0.00106668],[ 0.25630554  0.15464728 -0.01996684],[0. 0. 0.],[ 0.5324748  -0.23106721 -0.80466053],[ 0.06163237 -0.02304286 -0.71539102],[0. 0. 0.],[0.14289081 0.1338323  1.50514097],[-0.95013904 -0.31178107  0.59309225],[0. 0. 0.],[-3.07594773 -0.25634807 -1.82850088],[-0.84564799  0.3666468  -0.78169202]
[ 0.14725631 -0.10245714  0.00756397],[ 0.36051952  0.31078712 -0.05708201],[0. 0. 0.],[ 0.08131512 -0.07220575  0.0029386 ],[ 0.23521428  0.18596246 -0.02203456],[0. 0. 0.],[ 0.60080733 -0.24514895 -0.75700569],[ 0.04765786 -0.01714342 -0.69050808],[0. 0. 0.],[0.12661426 0.12177582 1.53174263],[-0.93500134 -0.28349934  0.55099395],[0. 0. 0.],[-3.05524479 -0.26122625 -1.83619544],[-0.83207037  0.36406803 -0.78949643]
[ 0.20769839 -0.16196477  0.01691723],[ 0.29835177  0.37906017 -0.05764599],[0. 0. 0.],[ 0.08069129 -0.11075228  0.00447537],[ 0.2270651   0.21423242 -0.02452002],[0. 0. 0.],[ 0.81067884 -0.20850747 -0.47834977],[ 0.05498319 -0.02616714 -0.88823264],[0. 0. 0.],[0.06437548 0.06583686 1.59325734],[-0.98878762 -0.26089992  0.4774844 ],[0. 0. 0.],[-3.03719525 -0.27395232 -1.84127109],[-0.83356812  0.37081578 -0.80146624]
[ 0.32361163 -0.17342742  0.02837832],[ 0.29958871  0.39490136 -0.06036892],[0. 0. 0.],[ 0.22377674 -0.11019421  0.01239355],[ 0.26437133  0.25957726 -0.03470527],[0. 0. 0.],[0.97442442 0.09110672 0.17165659],[ 0.3423467  -0.16918462 -0.91207846],[0. 0. 0.],[-0.00213056 -0.00226031  1.62988091],[-0.99071506 -0.22276381  0.40825151],[0. 0. 0.],[-3.02319868 -0.32782627 -1.83796927],[-0.854149    0.39130859 -0.82146187]
