lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.16132085  0.04350848 -0.00351759],[ 0.3610363   0.16554047 -0.03027881],[0. 0. 0.],[ 0.10537499  0.0684428  -0.00361083],[ 0.14511444  0.04976003 -0.00361754],[0. 0. 0.],[ 0.24458153 -0.0987706  -0.76471157],[ 0.01327141 -0.00620147 -0.87425318],[0. 0. 0.],[0.15105412 0.14842615 1.55318081],[-0.75912501 -0.3365703   0.80525735],[0. 0. 0.],[-3.11953913 -0.26554748 -1.81402489],[-0.8989963   0.37444976 -0.74836219]
[ 0.20065716  0.05267828 -0.00530416],[ 0.35578804  0.16230331 -0.02924341],[0. 0. 0.],[ 0.04693336  0.05776703 -0.00135623],[ 0.24708284  0.07299962 -0.00906861],[0. 0. 0.],[ 0.2563718  -0.10447185 -0.77071097],[-0.04847127  0.02318525 -0.89220543],[0. 0. 0.],[0.16007106 0.15565949 1.54273664],[-0.72479699 -0.32237806  0.81027177],[0. 0. 0.],[-3.12189207 -0.26623082 -1.81071038],[-0.90224352  0.37613497 -0.74867129]
[ 0.16001579  0.05514574 -0.00442265],[ 0.41609784  0.17332409 -0.0366771 ],[0. 0. 0.],[-0.0094121   0.04827326  0.00022722],[ 0.17180075  0.05712631 -0.00492061],[0. 0. 0.],[ 0.22521519 -0.09708689 -0.81151887],[-0.17367783  0.08804155 -0.93683475],[0. 0. 0.],[0.18822509 0.17720816 1.51018326],[-0.63511554 -0.26710025  0.77606055],[0. 0. 0.],[-3.12622998 -0.26542155 -1.81843324],[-0.90662945  0.37505886 -0.74289479]
[ 0.18632331  0.0700054  -0.0065434 ],[ 0.30625075  0.14629946 -0.0226183 ],[0. 0. 0.],[-0.00657421  0.05332186  0.00017532],[ 0.16313558  0.05460484 -0.004465  ],[0. 0. 0.],[ 0.18034608 -0.08052133 -0.83823129],[-0.16381041  0.08006845 -0.90792978],[0. 0. 0.],[0.19404317 0.18125905 1.50229508],[-0.62484775 -0.26872893  0.79271781],[0. 0. 0.],[-3.12943891 -0.26514159 -1.8181971 ],[-0.91048417  0.37558441 -0.74056121]
[ 0.17414222  0.07337217 -0.00640764],[ 0.31932158  0.14051247 -0.02266326],[0. 0. 0.],[ 0.04398736  0.0651248  -0.00143307],[ 0.28365054  0.08283882 -0.01183468],[0. 0. 0.],[ 0.42703855 -0.07749349 -0.35384236],[ 0.12682862 -0.08311714 -1.15955197],[0. 0. 0.],[0.17932448 0.16659561 1.49686801],[-0.60653435 -0.27556459  0.83423495],[0. 0. 0.],[-3.13026507 -0.26538936 -1.8184507 ],[-0.91072873  0.37251853 -0.7347099 ]
[ 0.17937328  0.07682815 -0.00691237],[ 0.29932987  0.12852863 -0.01940727],[0. 0. 0.],[ 0.04547065  0.06415532 -0.00145934],[ 0.28049594  0.08302758 -0.01172801],[0. 0. 0.],[ 0.50094643 -0.04461219 -0.17396013],[ 0.22209669 -0.15410089 -1.21116302],[0. 0. 0.],[0.16969251 0.158488   1.50223356],[-0.61581241 -0.28281937  0.84178555],[0. 0. 0.],[-3.12953872 -0.26832465 -1.81691369],[-0.91231635  0.37376225 -0.73565105]
[ 0.16713126  0.06847341 -0.00573761],[ 0.30237797  0.13091755 -0.01997337],[0. 0. 0.],[ 0.04404615  0.06041825 -0.00133122],[ 0.28013373  0.08360802 -0.01179464],[0. 0. 0.],[0.59877331 0.04986822 0.16124455],[ 0.48387508 -0.28431055 -1.05112707],[0. 0. 0.],[0.15941411 0.15048692 1.51296831],[-0.62704541 -0.28381579  0.83011497],[0. 0. 0.],[-3.12721328 -0.27083375 -1.81289069],[-0.91252045  0.37580059 -0.73922157]
[ 0.15093258  0.05835294 -0.0044133 ],[ 0.32697789  0.13772731 -0.02275468],[0. 0. 0.],[ 0.04693539  0.05206577 -0.00122236],[ 0.27713152  0.09053491 -0.01263441],[0. 0. 0.],[0.60272189 0.0515588  0.16553335],[ 0.4782149  -0.28710682 -1.07046184],[0. 0. 0.],[0.14699516 0.1393905  1.51751933],[-0.62242648 -0.27750566  0.81918509],[0. 0. 0.],[-3.12324146 -0.27079458 -1.80908797],[-0.90924564  0.37479665 -0.74016943]
[ 0.14885792  0.05195928 -0.0038753 ],[ 0.32581687  0.14000087 -0.02304789],[0. 0. 0.],[ 0.04893235  0.04096988 -0.00100272],[ 0.2764904   0.1034916  -0.01441168],[0. 0. 0.],[0.61384259 0.051325   0.1616239 ],[ 0.45208314 -0.27213456 -1.07398408],[0. 0. 0.],[0.13821302 0.13253519 1.52873247],[-0.65484342 -0.29790548  0.83206885],[0. 0. 0.],[-3.11899381 -0.27096222 -1.8070465 ],[-0.90708339  0.37511348 -0.74260582]
[ 0.14214999  0.0475874  -0.00338862],[ 0.32945978  0.14223899 -0.02368412],[0. 0. 0.],[ 0.04339654  0.03142664 -0.00068207],[ 0.27067905  0.11318729 -0.0154291 ],[0. 0. 0.],[0.63310823 0.04957917 0.15109758],[ 0.39876605 -0.23828682 -1.06966479],[0. 0. 0.],[0.12252833 0.11913466 1.54264377],[-0.63455215 -0.27069246  0.78624989],[0. 0. 0.],[-3.11673011 -0.26913972 -1.80655425],[-0.90298893  0.37393055 -0.74394075]
