lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.04507967  0.03574818 -0.00080598],[-0.35219299  0.10739729  0.01912804],[0. 0. 0.],[ 0.25763528 -0.14498417  0.01881293],[-0.69690208  0.30741991  0.11244699],[0. 0. 0.],[ 0.45992533 -0.4125204  -1.45872831],[-0.09718613  0.08320272 -1.41586157],[0. 0. 0.],[-0.29875516 -0.20013054  1.17663226],[-0.5264038  -0.08379236  0.30867964],[0. 0. 0.],[-3.11979075 -0.23105435  1.86529561],[-0.61466219 -0.20943998  0.63957811]
[ 0.13760172  0.01188902 -0.00081928],[-0.51878413  0.15104109  0.04015286],[0. 0. 0.],[ 0.14945621 -0.10621479  0.00795948],[-0.58248645  0.27590231  0.08318714],[0. 0. 0.],[ 0.4519207  -0.40714663 -1.4633942 ],[-0.09082733  0.07185749 -1.33838463],[0. 0. 0.],[-0.29967719 -0.20972255  1.21760787],[-0.49429521 -0.06214281  0.24514381],[0. 0. 0.],[-3.11667651 -0.23146323  1.86425246],[-0.61009486 -0.20863899  0.64202084]
[ 0.13653742  0.01116168 -0.00076319],[-0.52429332  0.16459246  0.04425643],[0. 0. 0.],[ 0.16842436 -0.10799353  0.00912474],[-0.61676303  0.27948533  0.08955252],[0. 0. 0.],[ 0.45251666 -0.39929012 -1.44215621],[ 0.03108403 -0.01212863 -0.74399327],[0. 0. 0.],[-0.2071503  -0.17025577  1.37475621],[-0.52412325 -0.02215312  0.08254642],[0. 0. 0.],[-3.11497263 -0.228844    1.86492255],[-0.60617384 -0.20636221  0.63951675]
[ 0.16162854  0.00408531 -0.00033087],[-0.58806835  0.18049676  0.05479166],[0. 0. 0.],[ 0.16979918 -0.10873156  0.00926257],[-0.62191465  0.2780523   0.08988105],[0. 0. 0.],[ 0.4632972  -0.39947853 -1.41848927],[ 0.03872022 -0.01619147 -0.79206202],[0. 0. 0.],[-0.19215722 -0.16541271  1.420693  ],[-0.52650604 -0.0094282   0.03497973],[0. 0. 0.],[-3.11479055 -0.22908521  1.86414446],[-0.60586389 -0.20644564  0.64008469]
[ 0.13819084  0.01137106 -0.00078695],[-0.57460111  0.17496607  0.05181885],[0. 0. 0.],[ 0.182877   -0.11307195  0.01037901],[-0.65672034  0.28167083  0.09652799],[0. 0. 0.],[ 0.46447862 -0.39900474 -1.41467576],[ 0.05025549 -0.02117364 -0.79737522],[0. 0. 0.],[-0.18873571 -0.16415029  1.43096331],[-0.53306538 -0.00599232  0.02194675],[0. 0. 0.],[-3.11443473 -0.23736383  1.8600385 ],[-0.59973008 -0.20392331  0.63915309]
[ 0.14828709  0.00784961 -0.00058307],[-0.56907301  0.17151266  0.05027546],[0. 0. 0.],[ 0.20444402 -0.12021694  0.01234652],[-0.65891217  0.27633677  0.09501863],[0. 0. 0.],[ 0.47466331 -0.40321142 -1.40309535],[ 0.04544724 -0.02139824 -0.87998898],[0. 0. 0.],[-0.05277937 -0.04432474  1.3970316 ],[-0.66767131 -0.03237181  0.09328041],[0. 0. 0.],[-3.11445033 -0.25673793  1.85319428],[-0.58545032 -0.19734501  0.63472661]
[ 0.14874282  0.00918258 -0.00068419],[-0.51810525  0.15793069  0.04193386],[0. 0. 0.],[ 0.20422013 -0.12315956  0.01263553],[-0.55525477  0.26216322  0.07510873],[0. 0. 0.],[ 0.4723167  -0.4029179  -1.40743306],[ 0.04450803 -0.02081097 -0.87465119],[0. 0. 0.],[-0.00645131 -0.00523666  1.36369342],[-0.70459949 -0.04178371  0.11354922],[0. 0. 0.],[-3.11451921 -0.25717592  1.85177732],[-0.58593341 -0.1976556   0.6351471 ]
[ 0.15371979  0.00899541 -0.00069276],[-0.46406795  0.14165932  0.03352561],[0. 0. 0.],[ 0.36945783 -0.16971496  0.03178648],[-0.73564237  0.30086824  0.11669219],[0. 0. 0.],[ 0.47044381 -0.40417162 -1.41465684],[ 0.00457658 -0.00281219 -1.10198611],[0. 0. 0.],[-0.02328308 -0.01772245  1.30120897],[-0.67850712 -0.05653542  0.1599047 ],[0. 0. 0.],[-3.11447385 -0.25768735  1.85003527],[-0.58684932 -0.19847175  0.63662738]
[ 0.16723472 -0.00344144  0.00028844],[-0.46687024  0.14824355  0.03530886],[0. 0. 0.],[ 0.39945453 -0.1850947   0.03757092],[-0.75261513  0.30836185  0.12266605],[0. 0. 0.],[ 0.48187251 -0.41085009 -1.406677  ],[ 8.45963603e-04 -5.13439632e-04 -1.09099717e+00],[0. 0. 0.],[-0.01706464 -0.01094422  1.14051234],[-0.72702727 -0.13405819  0.34932801],[0. 0. 0.],[-3.1187451  -0.27434101  1.84332916],[-0.57946262 -0.19375466  0.63023801]
[ 0.22280051 -0.02242673  0.00250883],[-0.55726035  0.16234083  0.046535  ],[0. 0. 0.],[ 0.53597064 -0.24628895  0.06794636],[-0.952951    0.35644453  0.18541494],[0. 0. 0.],[ 0.4963561  -0.41953523 -1.39751291],[ 0.0237739  -0.01338489 -1.02552285],[0. 0. 0.],[-0.01751779 -0.01086759  1.11051827],[-0.75094213 -0.15116912  0.37961822],[0. 0. 0.],[-3.12691198 -0.28937959  1.82363575],[-0.57592275 -0.19243535  0.63000649]
[ 0.38045907 -0.07272395  0.01400952],[-0.82919158  0.2122708   0.09370543],[0. 0. 0.],[ 0.69703841 -0.32255766  0.11809117],[-1.22096647  0.40954908  0.28858994],[0. 0. 0.],[ 0.50259552 -0.42419462 -1.39589018],[-8.95114043e-04  4.85516956e-04 -9.93991335e-01],[0. 0. 0.],[-0.01723081 -0.01027099  1.07505423],[-0.77829882 -0.18063403  0.43472852],[0. 0. 0.],[-3.13689435 -0.28877863  1.81502201],[-0.58779453 -0.19554847  0.62680079]
