lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.17671137 -0.03217113  0.00285017],[-0.40227131  0.11898268  0.02428716],[0. 0. 0.],[ 0.17560118 -0.13226862  0.01166007],[-0.52764125  0.24422341  0.06627442],[0. 0. 0.],[ 0.65024071 -0.48722769 -1.27072368],[ 0.04149858 -0.01669481 -0.76488874],[0. 0. 0.],[ 0.76000444 -0.05676668 -0.14192392],[-1.08693132 -0.59041633  0.93263359],[0. 0. 0.],[ 3.11512073 -0.22971624  1.88072842],[-0.66145494 -0.21299391  0.60369042]
[ 0.19456409 -0.03306979  0.00322758],[-0.44606217  0.12865531  0.02921781],[0. 0. 0.],[ 0.19101618 -0.1317374   0.0126385 ],[-0.53601455  0.24192316  0.06673663],[0. 0. 0.],[ 0.64858547 -0.48061168 -1.25977233],[ 0.04474629 -0.0175645  -0.74801358],[0. 0. 0.],[ 0.80248704 -0.11673366 -0.27373731],[-1.05517043 -0.47307795  0.78451452],[0. 0. 0.],[ 3.11859854 -0.22967608  1.87328873],[-0.65147456 -0.209318    0.60301749]
[ 0.25416879 -0.03267913  0.00417588],[-0.58392171  0.14766274  0.04445346],[0. 0. 0.],[ 0.26419838 -0.13943508  0.0185567 ],[-0.60740322  0.25083255  0.07898378],[0. 0. 0.],[ 0.64014396 -0.47490676 -1.26133918],[ 0.0420609  -0.0161064  -0.73132652],[0. 0. 0.],[ 0.80102411 -0.11856368 -0.27854309],[-1.03194674 -0.53663555  0.90270217],[0. 0. 0.],[ 3.12696456 -0.21423381  1.85289076],[-0.64867774 -0.21546013  0.62243172]
[ 0.24926256 -0.02475177  0.00310107],[-0.41599488  0.10912946  0.02305361],[0. 0. 0.],[ 0.27862511 -0.13607812  0.01910991],[-0.61369224  0.24697535  0.07861471],[0. 0. 0.],[ 0.62698371 -0.47097861 -1.27432581],[ 0.04059781 -0.01507869 -0.71117283],[0. 0. 0.],[ 0.82192418 -0.17506928 -0.39745497],[-0.88366177 -0.28676646  0.59247417],[0. 0. 0.],[ 3.13121678 -0.20514694  1.83685744],[-0.64341729 -0.22038232  0.6410359 ]
[ 0.25195595 -0.01475893  0.00186923],[-0.41743602  0.10318045  0.02187242],[0. 0. 0.],[ 0.27924877 -0.13763611  0.01937321],[-0.60584316  0.25603538  0.08041804],[0. 0. 0.],[ 0.61463159 -0.46441364 -1.28071416],[ 0.05752251 -0.02159426 -0.71809614],[0. 0. 0.],[ 0.83641963 -0.17433182 -0.38830465],[-0.92627751 -0.34310948  0.66792244],[0. 0. 0.],[ 3.13608527 -0.20534171  1.83388994],[-0.64031959 -0.22104761  0.64596367]
[ 0.23699604 -0.00452933  0.00053924],[-0.49390208  0.12150356  0.03066598],[0. 0. 0.],[ 0.21951266 -0.11956572  0.01319157],[-0.4803229   0.2367964   0.05824458],[0. 0. 0.],[ 0.61581964 -0.46837487 -1.2871891 ],[ 0.05980054 -0.02349208 -0.7484671 ],[0. 0. 0.],[ 0.84742455 -0.18599116 -0.40781276],[-0.91739469 -0.35658719  0.69980734],[0. 0. 0.],[ 3.14133013 -0.21496107  1.83409282],[-0.63275822 -0.21883519  0.64751836]
[ 0.21210059  0.00576264 -0.00061343],[-0.44600542  0.11372061  0.02581532],[0. 0. 0.],[ 0.19538958 -0.10442579  0.01024366],[-0.47780897  0.2299136   0.05622997],[0. 0. 0.],[ 0.6054775  -0.46916037 -1.30622619],[ 0.05474668 -0.0216152  -0.75192542],[0. 0. 0.],[ 0.86255676 -0.18926953 -0.40683076],[-0.94024674 -0.36129812  0.69012334],[0. 0. 0.],[-3.1378836  -0.21530005  1.83841672],[-0.62987399 -0.21740117  0.64646942]
[ 0.18763808  0.01284786 -0.00120894],[-0.44293521  0.12000656  0.02705161],[0. 0. 0.],[ 0.1817185  -0.09364169  0.00853789],[-0.49847854  0.22396876  0.05723103],[0. 0. 0.],[ 0.59343868 -0.46995676 -1.32858681],[ 0.03500989 -0.01426423 -0.77373791],[0. 0. 0.],[ 0.86619298 -0.20430202 -0.43634026],[-0.89051209 -0.29612433  0.60585844],[0. 0. 0.],[-3.13536137 -0.2006675   1.84067845],[-0.63715133 -0.222652    0.65359022]
[ 0.18275695  0.01546323 -0.00141698],[-0.48296772  0.13053492  0.03219239],[0. 0. 0.],[ 0.17440998 -0.08821313  0.00771715],[-0.49125364  0.21893359  0.05509054],[0. 0. 0.],[ 0.59052501 -0.46898035 -1.33156184],[ 0.03357702 -0.01373157 -0.77635372],[0. 0. 0.],[ 0.87438513 -0.20751801 -0.43846417],[-0.89009043 -0.29950259  0.6127578 ],[0. 0. 0.],[-3.13382293 -0.19501371  1.84233374],[-0.64042533 -0.22467867  0.65581033]
[ 0.17307292  0.01759536 -0.00152649],[-0.48185452  0.13470701  0.03314458],[0. 0. 0.],[ 0.12304934 -0.07335644  0.00452095],[-0.41698359  0.20149871  0.04276863],[0. 0. 0.],[ 0.58478165 -0.46381757 -1.33047212],[ 0.03121653 -0.01210932 -0.74004129],[0. 0. 0.],[ 0.87863279 -0.20098701 -0.42271773],[-0.90230781 -0.28955982  0.58464146],[0. 0. 0.],[-3.13369023 -0.18505086  1.84285213],[-0.64275265 -0.2250909   0.65456723]
