lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.08682942  0.04082144 -0.00177361],[-0.41352946  0.14534472  0.03053929],[0. 0. 0.],[ 0.07311836 -0.02675988  0.00097881],[-0.43448196  0.17581865  0.0389028 ],[0. 0. 0.],[ 0.39679408 -0.34186583 -1.41894814],[-0.05463525  0.02240867 -0.77830666],[0. 0. 0.],[-0.1634303  -0.15356916  1.50834011],[-0.51905963 -0.01293876  0.04872126],[0. 0. 0.],[-3.08497981 -0.2215042   1.82722943],[-0.56532316 -0.20397529  0.6775755 ]
[ 0.08659158  0.04045808 -0.001753  ],[-0.4051036   0.13927845  0.02864772],[0. 0. 0.],[ 0.0930241  -0.03493314  0.00162615],[-0.43928986  0.17477169  0.03911182],[0. 0. 0.],[ 0.41529001 -0.35254802 -1.40370382],[-0.07035209  0.03123082 -0.83532972],[0. 0. 0.],[-0.04954336 -0.04450838  1.46379086],[-0.6322175  -0.04271372  0.13042714],[0. 0. 0.],[-3.08607735 -0.24338412  1.81566761],[-0.54951377 -0.19730557  0.67533315]
[ 0.0765718   0.04183828 -0.00160283],[-0.39663641  0.13326231  0.02681845],[0. 0. 0.],[ 0.09322672 -0.04106722  0.00191594],[-0.46862203  0.18069302  0.04324158],[0. 0. 0.],[ 0.41691043 -0.35427849 -1.40468101],[-0.07916781  0.03504089 -0.83308086],[0. 0. 0.],[-0.02598114 -0.02309316  1.45322204],[-0.65354149 -0.05098688  0.15018862],[0. 0. 0.],[-3.08814032 -0.24631198  1.80796383],[-0.54950963 -0.19844027  0.67895475]
[ 0.07624692  0.03932945 -0.00150029],[-0.38381125  0.12981237  0.02525625],[0. 0. 0.],[ 0.09766303 -0.0518986   0.00253687],[-0.46429312  0.18278464  0.04332582],[0. 0. 0.],[ 0.4122535  -0.35619194 -1.42153182],[-0.10531133  0.05066753 -0.89630666],[0. 0. 0.],[0.07832961 0.06492694 1.38406786],[-0.74282086 -0.10090576  0.25785548],[0. 0. 0.],[-3.09115111 -0.25569851  1.80192767],[-0.54846755 -0.19846909  0.68030174]
[ 0.07291442  0.03829682 -0.00139698],[-0.38010865  0.12968203  0.02498145],[0. 0. 0.],[ 0.09718488 -0.05922736  0.00288111],[-0.45862241  0.18557442  0.04343412],[0. 0. 0.],[ 0.3994793  -0.35119667 -1.43929045],[-0.15607666  0.08469266 -0.99313972],[0. 0. 0.],[0.09235038 0.07561536 1.3719549 ],[-0.74738855 -0.099271    0.2520308 ],[0. 0. 0.],[-3.09268041 -0.25524206  1.79727341],[-0.55050865 -0.19990759  0.68241899]
[ 0.06284795  0.03955272 -0.00124347],[-0.3820552   0.12957997  0.02509271],[0. 0. 0.],[ 0.08939275 -0.06052701  0.00270797],[-0.4567716   0.18474635  0.04305859],[0. 0. 0.],[ 0.39165727 -0.34456692 -1.44013525],[-0.17245458  0.09206392 -0.97923537],[0. 0. 0.],[0.10979803 0.08927541 1.36500696],[-0.74824656 -0.10620013  0.26911329],[0. 0. 0.],[-3.09396647 -0.24348404  1.79359774],[-0.55682769 -0.20307982  0.68484004]
[ 0.08191164  0.0339204  -0.00139015],[-0.38818427  0.132108    0.0260044 ],[0. 0. 0.],[ 0.07852352 -0.05492763  0.00215821],[-0.43345782  0.17185287  0.03792867],[0. 0. 0.],[ 0.38865756 -0.34148438 -1.43886825],[-0.17298119  0.09189409 -0.97516269],[0. 0. 0.],[0.09981633 0.08222463 1.37786055],[-0.73599256 -0.09529705  0.24610294],[0. 0. 0.],[-3.09496936 -0.23677881  1.79079011],[-0.5607219  -0.20508906  0.68646626]
[ 0.06784609  0.03196865 -0.00108498],[-0.3500307   0.13146387  0.02327851],[0. 0. 0.],[ 0.07744838 -0.05664831  0.00219534],[-0.42732665  0.17021256  0.0370171 ],[0. 0. 0.],[ 0.38825181 -0.3386509  -1.43151276],[-0.14706757  0.07021769 -0.88981058],[0. 0. 0.],[0.0781117  0.06563313 1.39746207],[-0.71906927 -0.08993466  0.2382969 ],[0. 0. 0.],[-3.09584498 -0.23152135  1.78633252],[-0.56192572 -0.20575114  0.68709035]
[ 0.0833479   0.02690943 -0.00112214],[-0.34103122  0.13106874  0.02259982],[0. 0. 0.],[ 0.08233334 -0.06049698  0.00249263],[-0.42940378  0.17123421  0.03742697],[0. 0. 0.],[ 0.39116449 -0.33934622 -1.42599321],[-0.14502478  0.06983883 -0.8965283 ],[0. 0. 0.],[0.14487877 0.11550953 1.34554292],[-0.75293056 -0.12025268  0.30223604],[0. 0. 0.],[-3.09675272 -0.23138589  1.78332188],[-0.5620674  -0.20591649  0.68743494]
[ 0.14068827  0.01244814 -0.00087711],[-0.37893545  0.14010767  0.02691057],[0. 0. 0.],[ 0.19281467 -0.09586589  0.00927795],[-0.50383755  0.19838898  0.05121964],[0. 0. 0.],[ 0.39241022 -0.33864885 -1.42069185],[-0.12210418  0.05610232 -0.86064617],[0. 0. 0.],[0.1477738  0.11876163 1.35332106],[-0.75799585 -0.11556011  0.2884749 ],[0. 0. 0.],[-3.09826416 -0.23442647  1.77935718],[-0.56121903 -0.20571186  0.68781045]
[ 1.64619432e-01  8.02520426e-04 -6.62048096e-05],[-0.37152953  0.14233649  0.02679316],[0. 0. 0.],[ 0.2685092  -0.13611066  0.01841198],[-0.5755727   0.23727682  0.07053692],[0. 0. 0.],[ 0.40294488 -0.34228329 -1.40457644],[-0.08712868  0.03933279 -0.84771257],[0. 0. 0.],[0.40559584 0.26407226 1.14694691],[-0.89093098 -0.23420683  0.48314315],[0. 0. 0.],[-3.10105296 -0.26536646  1.77156335],[-0.54205485 -0.19544068  0.67834671]
[ 0.18542175 -0.00517623  0.00048127],[-0.52586663  0.16157821  0.04357915],[0. 0. 0.],[ 0.30430988 -0.17147013  0.02635633],[-0.632994    0.28154852  0.09275631],[0. 0. 0.],[ 0.41232996 -0.34354703 -1.38496872],[-0.03900594  0.01569188 -0.76489238],[0. 0. 0.],[1.04274318 0.11960011 0.2077215 ],[-0.81362118 -0.58489989  1.2198674 ],[0. 0. 0.],[-3.10246866 -0.28623595  1.76814858],[-0.53481748 -0.19159534  0.67466409]
[ 0.22511512 -0.0136854   0.00154696],[-0.59471563  0.16611538  0.05101131],[0. 0. 0.],[ 0.51097543 -0.2589265   0.06798469],[-0.96738075  0.367693    0.19474119],[0. 0. 0.],[ 0.43928593 -0.35051425 -1.34114079],[ 0.01558105 -0.00532785 -0.6589492 ],[0. 0. 0.],[1.08619896 0.01715494 0.02841744],[-0.86189709 -0.57008765  1.13482804],[0. 0. 0.],[-3.10587495 -0.28799304  1.76286166],[-0.54143462 -0.19307038  0.67142619]
[ 0.23616397 -0.0325006   0.00385601],[-0.71710473  0.18752585  0.07045302],[0. 0. 0.],[ 0.66190442 -0.33804559  0.11713354],[-1.20799794  0.43129035  0.30002995],[0. 0. 0.],[ 0.45290477 -0.3595227  -1.33564174],[ 0.01481646 -0.00511615 -0.66495636],[0. 0. 0.],[ 1.09250809e+00 -4.21452257e-04 -6.93220285e-04],[-0.7074478  -0.53281858  1.27290815],[0. 0. 0.],[-3.11303971 -0.28964915  1.76826573],[-0.55504119 -0.19510318  0.6617999 ]
[ 0.35124486 -0.10988399  0.019518  ],[-0.91838487  0.26293597  0.13057533],[0. 0. 0.],[ 0.91436479 -0.42675084  0.21238098],[-1.55587276  0.47403907  0.46727154],[0. 0. 0.],[ 0.46907012 -0.37476762 -1.34160983],[-0.03013593  0.01119943 -0.71158361],[0. 0. 0.],[0.85176667 0.25039405 0.54124692],[-0.82537673 -0.42240465  0.91072456],[0. 0. 0.],[-3.12785189 -0.28801178  1.80853033],[-0.57711448 -0.19134172  0.62535495]
[ 0.39093315 -0.18047766  0.03582708],[-1.02672956  0.33456691  0.18983095],[0. 0. 0.],[ 1.33876748 -0.47594275  0.37925202],[-2.01398175  0.46971648  0.72356638],[0. 0. 0.],[ 0.43769558 -0.37016993 -1.39944492],[-0.08704435  0.03607508 -0.78542291],[0. 0. 0.],[0.82025703 0.19842827 0.45012942],[-0.78272587 -0.43080475  0.97506836],[0. 0. 0.],[ 3.13975946 -0.26471166  1.85799343],[-0.62462084 -0.19155235  0.57840428]
[ 0.48432774 -0.24740373  0.06140587],[-1.20231614  0.36826368  0.2540871 ],[0. 0. 0.],[ 1.38293723 -0.5272415   0.43963403],[-2.10447058  0.48795424  0.82268882],[0. 0. 0.],[ 0.4516263  -0.37713241 -1.38634193],[-0.07120218  0.03189781 -0.84210883],[0. 0. 0.],[0.74947861 0.17905662 0.44877137],[-0.68371546 -0.4008011   1.03742993],[0. 0. 0.],[ 3.12250353 -0.25793443  1.86694793],[-0.65448849 -0.19243419  0.55403696]
