lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.13967051  0.06083907 -0.00425694],[ 0.44147578  0.22487582 -0.05066375],[0. 0. 0.],[-0.09956887 -0.00558408 -0.00027823],[ 0.41885126  0.17581702 -0.03746069],[0. 0. 0.],[-0.36454075 -0.11541112  0.60745903],[-0.79015213  0.42287039 -0.95072528],[0. 0. 0.],[1.79047391 0.07764969 0.06223523],[1.55084564 0.4526824  0.46148764],[0. 0. 0.],[ 3.12283706 -0.36171528 -1.85429662],[-0.9629797   0.45098516 -0.82738148]
[ 0.12990149  0.05793377 -0.00376919],[ 0.43795436  0.22268825 -0.04975387],[0. 0. 0.],[-0.12914717 -0.02643867 -0.00170972],[ 0.47557987  0.21076191 -0.05126225],[0. 0. 0.],[-0.38607656 -0.11833512  0.58849403],[-0.77370011  0.44691413 -1.01768766],[0. 0. 0.],[1.84791    0.09375052 0.0708257 ],[1.52630497 0.4642748  0.48460393],[0. 0. 0.],[ 3.12278996 -0.37698374 -1.85205322],[-0.97041655  0.46310587 -0.84103453]
[-0.02779952  0.01964071  0.00027303],[ 0.53513462  0.25312263 -0.06973587],[0. 0. 0.],[-0.15681413 -0.03889101 -0.00305598],[ 0.49929854  0.2244551  -0.05745462],[0. 0. 0.],[-0.39819277 -0.12433628  0.59849562],[-0.74096009  0.42374048 -1.011488  ],[0. 0. 0.],[2.00609932e+00 1.98649099e-03 1.26697236e-03],[1.78951928 0.30992465 0.2493088 ],[0. 0. 0.],[ 3.12502675 -0.38388395 -1.86555309],[-0.96294051  0.46439113 -0.84998215]
[-0.0791359   0.00687723  0.00027226],[ 0.60826418  0.26993599 -0.08519136],[0. 0. 0.],[-0.09520295 -0.02580412 -0.00122931],[ 0.54141662  0.23529809 -0.06557957],[0. 0. 0.],[-0.42874536 -0.13173499  0.58836603],[-0.70750568  0.42064555 -1.04830129],[0. 0. 0.],[ 2.1544864  -0.05069173 -0.02727432],[1.97366145 0.05865969 0.03877158],[0. 0. 0.],[ 3.12791457 -0.38508257 -1.87359039],[-0.95581602  0.46611646 -0.85944687]
[-0.05782531  0.01583047  0.00045784],[ 0.58581136  0.27050392 -0.08203364],[0. 0. 0.],[-0.05555766 -0.01661455 -0.00046166],[ 0.5190448   0.23602666 -0.06293926],[0. 0. 0.],[-0.47074582 -0.1374791   0.55913188],[-0.67444421  0.40709505 -1.06413544],[0. 0. 0.],[ 2.26211346 -0.07986021 -0.03758679],[ 2.00983153 -0.17176885 -0.10926297],[0. 0. 0.],[ 3.1325502  -0.38447624 -1.89198813],[-0.94396356  0.46160916 -0.86285915]
[-0.05719511  0.03355008  0.0009598 ],[ 0.59055289  0.26350514 -0.08057328],[0. 0. 0.],[-5.43016920e-02 -3.45905528e-03 -9.39394550e-05],[ 0.52827994  0.23176895 -0.06294541],[0. 0. 0.],[-0.46555888 -0.13531786  0.55680246],[-0.69062013  0.41259627 -1.05381267],[0. 0. 0.],[ 2.32642547 -0.12432496 -0.05373502],[ 2.07643173 -0.21304676 -0.12587797],[0. 0. 0.],[ 3.12885236 -0.38095882 -1.89665419],[-0.94729134  0.46047292 -0.85781197]
[-0.01346155  0.05238351  0.00035267],[ 0.58923394  0.26455565 -0.08070654],[0. 0. 0.],[-0.01259863  0.0186037   0.0001172 ],[ 0.53087291  0.22913862 -0.0625452 ],[0. 0. 0.],[-0.48724415 -0.12814675  0.50523613],[-0.69819844  0.41108099 -1.04027988],[0. 0. 0.],[ 2.33761323 -0.04432606 -0.01884734],[2.16740442 0.03438314 0.01821271],[0. 0. 0.],[ 3.12718199 -0.33797101 -1.89500428],[-0.95191636  0.43875949 -0.8164816 ]
[-0.05773264  0.03902254  0.00112689],[ 0.63835841  0.2737111  -0.09096191],[0. 0. 0.],[-6.25863679e-02  2.68283918e-03  8.39820457e-05],[ 0.59421107  0.24528135 -0.0754402 ],[0. 0. 0.],[-0.50435359 -0.13038788  0.49631518],[-0.66183253  0.38087487 -1.02268683],[0. 0. 0.],[2.32130642 0.11412122 0.04966378],[2.03257851 0.57672222 0.36336691],[0. 0. 0.],[ 3.12969392 -0.33359667 -1.89241111],[-0.95061241  0.4379744  -0.81630087]
[-0.0674879   0.0366131   0.00123608],[ 0.64344211  0.27248518 -0.09132208],[0. 0. 0.],[-0.10125737 -0.00928631 -0.00047056],[ 0.58459795  0.24902379 -0.07528987],[0. 0. 0.],[-0.50956254 -0.13223134  0.49791324],[-0.65166669  0.36953836 -1.01053882],[0. 0. 0.],[2.30078412 0.17755206 0.0795432 ],[1.98243346 0.67368351 0.45065752],[0. 0. 0.],[ 3.13274465 -0.33217914 -1.89093329],[-0.9475745   0.43739155 -0.81802329]
[-0.05762835  0.04612414  0.00132963],[ 0.60015063  0.26373533 -0.08203495],[0. 0. 0.],[-0.09361822 -0.01032433 -0.00048363],[ 0.55289836  0.26428668 -0.07538557],[0. 0. 0.],[-0.51643053 -0.13413281  0.49806888],[-0.65701154  0.37455994 -1.01480725],[0. 0. 0.],[2.28703591 0.19918079 0.09093152],[1.95419303 0.74108935 0.51285997],[0. 0. 0.],[ 3.13226889 -0.32259718 -1.89473042],[-0.94284619  0.43079526 -0.81085841]
