lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.17587611 -0.03160807  0.00278697],[-0.33265966  0.1229433   0.02066513],[0. 0. 0.],[ 0.2929898 -0.1613678  0.0238608],[-0.61439727  0.26971378  0.08603379],[0. 0. 0.],[ 0.90146988 -0.53506211 -1.0306502 ],[ 0.14186423 -0.03914341 -0.53765064],[0. 0. 0.],[-0.28603644 -0.15089506  0.96678834],[-0.51315728 -0.02767796  0.10540459],[0. 0. 0.],[ 3.12469314 -0.29228604  1.87135671],[-0.61025085 -0.19205763  0.59359672]
[ 0.297281   -0.06168112  0.0092393 ],[-0.56299329  0.17935317  0.05199229],[0. 0. 0.],[ 0.30001893 -0.15576091  0.02358909],[-0.60828027  0.26240528  0.08279191],[0. 0. 0.],[ 0.8404316  -0.50655737 -1.05007906],[ 0.22089321 -0.05346549 -0.4731974 ],[0. 0. 0.],[-0.18806177 -0.09088359  0.8985665 ],[-0.62050856 -0.07214258  0.22417222],[0. 0. 0.],[ 3.12827741 -0.29224046  1.86341654],[-0.6051608  -0.19291434  0.60112965]
[ 0.2964137  -0.05434092  0.00811514],[-0.57835604  0.18025949  0.05376315],[0. 0. 0.],[ 0.29249581 -0.13717403  0.02023673],[-0.60711527  0.25139534  0.07912279],[0. 0. 0.],[ 0.80892105 -0.49741934 -1.07095448],[ 0.21740421 -0.04543952 -0.41057609],[0. 0. 0.],[-0.19913191 -0.09876277  0.91884349],[-0.59035309 -0.06116404  0.20054628],[0. 0. 0.],[ 3.13239311 -0.28085714  1.86271535],[-0.60589687 -0.19501744  0.60659088]
[ 0.29480229 -0.04541563  0.00674436],[-0.58850428  0.17538003  0.05327288],[0. 0. 0.],[ 0.26616767 -0.12087709  0.01620181],[-0.61123027  0.24549962  0.0778071 ],[0. 0. 0.],[ 0.80936852 -0.49900262 -1.0733213 ],[ 0.22072565 -0.04572146 -0.40696052],[0. 0. 0.],[0.56780049 0.0325793  0.11155042],[-1.05239884 -0.47212117  0.78528235],[0. 0. 0.],[ 3.1381398  -0.28171865  1.85594432],[-0.60250551 -0.19671242  0.61500953]
[ 0.2424498  -0.03279138  0.00399507],[-0.49993138  0.15620668  0.03995638],[0. 0. 0.],[ 0.27207845 -0.11794418  0.01616314],[-0.5756786   0.23419094  0.06962535],[0. 0. 0.],[ 0.82723624 -0.49346391 -1.04186447],[ 0.23672687 -0.04747177 -0.39408736],[0. 0. 0.],[0.61543378 0.02273505 0.07150877],[-1.08689181 -0.51149666  0.81694393],[0. 0. 0.],[ 3.13983339 -0.30880705  1.8523231 ],[-0.58317512 -0.18836079  0.60980601]
[ 0.24645908 -0.02295245  0.00284295],[-0.49168297  0.1502948   0.03777817],[0. 0. 0.],[ 0.28919006 -0.10713742  0.01561504],[-0.57909944  0.21924988  0.0655589 ],[0. 0. 0.],[ 0.83014795 -0.49297522 -1.03756813],[ 0.23727125 -0.04736016 -0.39229681],[0. 0. 0.],[0.53879884 0.06100534 0.22011989],[-1.05034603 -0.44804432  0.74928014],[0. 0. 0.],[-3.1379989  -0.3161444   1.84280465],[-0.57178707 -0.18746135  0.61905643]
[ 0.25043925 -0.01726082  0.00217281],[-0.41152133  0.13201288  0.02759134],[0. 0. 0.],[ 0.25184983 -0.08912594  0.01129023],[-0.47736712  0.19190546  0.04683007],[0. 0. 0.],[ 0.82104932 -0.48976576 -1.04237842],[ 0.25515452 -0.05347069 -0.4110594 ],[0. 0. 0.],[0.44158433 0.08533826 0.37594776],[-1.01394741 -0.40934423  0.7153516 ],[0. 0. 0.],[-3.1332134  -0.31797006  1.83303136],[-0.56486937 -0.18896988  0.63129664]
[ 0.24475107 -0.01081398  0.00133003],[-0.41169617  0.13239039  0.02768255],[0. 0. 0.],[ 0.23065811 -0.08071068  0.00935479],[-0.44658281  0.18487033  0.04209373],[0. 0. 0.],[ 0.81291159 -0.488134   -1.04903034],[ 0.24371844 -0.04908646 -0.39565402],[0. 0. 0.],[0.38780585 0.08887671 0.44538443],[-0.98500213 -0.37755728  0.68409342],[0. 0. 0.],[-3.1297116  -0.31269788  1.83020681],[-0.56411639 -0.18986202  0.63493278]
[ 0.24236055 -0.00560476  0.00068253],[-0.41052056  0.13091828  0.02729349],[0. 0. 0.],[ 0.21634975 -0.07426249  0.00806848],[-0.45162181  0.18669919  0.04300859],[0. 0. 0.],[ 0.80932608 -0.48705604 -1.05132427],[ 0.24493168 -0.05036224 -0.40369043],[0. 0. 0.],[0.38798614 0.08517661 0.42719343],[-0.97298344 -0.3778422   0.6937907 ],[0. 0. 0.],[-3.12472996 -0.31094825  1.82608801],[-0.5625278  -0.1913377   0.64134506]
[ 0.25746179 -0.00255501  0.00033074],[-0.40865056  0.12043236  0.02498454],[0. 0. 0.],[ 0.2147198  -0.07177605  0.0077389 ],[-0.45371804  0.19001276  0.04398649],[0. 0. 0.],[ 0.80504526 -0.4847669  -1.05221398],[ 0.24731815 -0.05161862 -0.40956632],[0. 0. 0.],[0.49621878 0.07315743 0.28692827],[-1.00280127 -0.46669632  0.81830129],[0. 0. 0.],[-3.120986   -0.30655074  1.82317496],[-0.56095987 -0.19208787  0.64547292]
[ 2.48188136e-01 -1.31406227e-03  1.63909587e-04],[-0.40349687  0.1219392   0.02496999],[0. 0. 0.],[ 0.20842644 -0.07086628  0.00741512],[-0.45505473  0.1930313   0.04482562],[0. 0. 0.],[ 0.79533979 -0.47934121 -1.05379855],[ 0.24361908 -0.05145948 -0.41442476],[0. 0. 0.],[0.44357192 0.08158255 0.35811623],[-0.98045224 -0.41153087  0.74561371],[0. 0. 0.],[-3.12009292 -0.29856886  1.82306433],[-0.56091591 -0.19163915  0.64410825]
[ 0.2171319   0.0114254  -0.00124532],[-0.42548026  0.12204353  0.02639371],[0. 0. 0.],[ 0.13010916 -0.05127969  0.00334142],[-0.39334917  0.18037486  0.0360336 ],[0. 0. 0.],[ 0.79508361 -0.47837377 -1.05228589],[ 0.22605019 -0.04313787 -0.37561912],[0. 0. 0.],[ 0.67192741 -0.00517555 -0.01482085],[-1.02805552 -0.58460503  0.97928246],[0. 0. 0.],[-3.11752745 -0.29825566  1.8174229 ],[-0.55919922 -0.19269843  0.64939775]
[ 0.20961672  0.01366642 -0.00143765],[-0.42262606  0.1237001   0.02656792],[0. 0. 0.],[ 0.12680416 -0.04871949  0.00309367],[-0.39815647  0.17950328  0.03630846],[0. 0. 0.],[ 0.7971983  -0.47825972 -1.04950282],[ 0.22231005 -0.04273467 -0.37835454],[0. 0. 0.],[ 0.69318308 -0.01427736 -0.0395263 ],[-1.04049371 -0.57166752  0.94795581],[0. 0. 0.],[-3.1160614  -0.29912444  1.81407898],[-0.55782557 -0.19307482  0.65215757]
[ 0.20345326  0.01617224 -0.00165088],[-0.41332445  0.12598547  0.026447  ],[0. 0. 0.],[ 0.09676686 -0.04064703  0.00196845],[-0.34141365  0.1662558   0.02872416],[0. 0. 0.],[ 0.79924599 -0.477719   -1.04600733],[ 0.22035139 -0.04209052 -0.37604514],[0. 0. 0.],[ 0.67956543 -0.0043938  -0.01242955],[-1.03099761 -0.58894657  0.98294645],[0. 0. 0.],[-3.11510005 -0.30115723  1.8117032 ],[-0.55543065 -0.19262196  0.65347579]
[ 0.18855907  0.01905905 -0.00180228],[-0.41314117  0.13163128  0.02762277],[0. 0. 0.],[ 0.07322054 -0.03592213  0.00131585],[-0.32171242  0.16182683  0.02631365],[0. 0. 0.],[ 0.800218   -0.47766536 -1.04473389],[ 0.22001636 -0.04226948 -0.37817271],[0. 0. 0.],[6.77803666e-01 4.21042505e-04 1.19444068e-03],[-1.03263434 -0.59279139  0.98710841],[0. 0. 0.],[-3.11561437 -0.30137037  1.81019944],[-0.55537399 -0.19293312  0.65452924]
[ 0.18676711  0.01756996 -0.00164557],[-0.42650485  0.13874101  0.03008969],[0. 0. 0.],[ 0.06348569 -0.03692629  0.00117267],[-0.32411994  0.16194607  0.02653364],[0. 0. 0.],[ 0.8005094  -0.47710733 -1.04333296],[ 0.22038423 -0.04234359 -0.37819786],[0. 0. 0.],[0.59348938 0.0491982  0.16058426],[-1.01278165 -0.54981974  0.9409121 ],[0. 0. 0.],[-3.11734737 -0.30141824  1.80749257],[-0.55581235 -0.19363253  0.65624188]
