lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.13225918  0.05471572 -0.00362451],[ 0.36637694  0.13392661 -0.02484785],[0. 0. 0.],[ 0.0945561   0.05083228 -0.00240556],[ 0.21773006  0.08920304 -0.00975603],[0. 0. 0.],[ 0.12664158 -0.08021693 -1.12853388],[ 0.36410431 -0.05079741 -0.27426437],[0. 0. 0.],[0.16078754 0.15072928 1.5059814 ],[-0.7429654  -0.34597076  0.84325292],[0. 0. 0.],[-3.10260146 -0.23011489 -1.83538157],[-0.85728771  0.36050557 -0.75889313]
[ 0.14372179  0.08404569 -0.00605356],[ 0.36180878  0.1255232  -0.02298788],[0. 0. 0.],[ 0.06996864  0.06511961 -0.0022799 ],[ 0.25280581  0.09014152 -0.01146286],[0. 0. 0.],[ 0.16305793 -0.09477351 -1.0517244 ],[-0.02816401  0.00858476 -0.59170008],[0. 0. 0.],[0.16225727 0.15231199 1.50732534],[-0.72682085 -0.34481237  0.85878601],[0. 0. 0.],[-3.11241123 -0.23042927 -1.84442398],[-0.86322832  0.35856776 -0.74975478]
[ 0.21484904  0.09835555 -0.01061509],[ 0.43439398  0.18041021 -0.03991562],[0. 0. 0.],[ 0.04351686  0.06446123 -0.00140328],[ 0.22183922  0.09206311 -0.01026085],[0. 0. 0.],[ 0.15763122 -0.08690295 -1.00646922],[-0.01552383  0.00507592 -0.63202596],[0. 0. 0.],[0.15157499 0.14499751 1.52628412],[-0.67292253 -0.28879109  0.78799372],[0. 0. 0.],[-3.11744587 -0.22344708 -1.86262959],[-0.86397072  0.35405809 -0.74032722]
[ 0.27285099  0.10853141 -0.01491337],[ 0.36181994  0.1671393  -0.03064038],[0. 0. 0.],[ 0.08519719  0.07015158 -0.00299139],[ 0.14837993  0.08195979 -0.00609517],[0. 0. 0.],[ 0.52194106 -0.0928686  -0.34454378],[ 0.1636646  -0.09328986 -1.03484783],[0. 0. 0.],[0.1592215  0.1512315  1.51912749],[-0.66261045 -0.29018592  0.80337991],[0. 0. 0.],[-3.11860251 -0.22340599 -1.85706646],[-0.86803947  0.35634127 -0.74115303]
[ 0.33488454  0.10930338 -0.01849288],[ 0.2252893   0.13192412 -0.01494513],[0. 0. 0.],[ 0.12204929  0.07332532 -0.00448222],[ 0.23224172  0.09601264 -0.01120795],[0. 0. 0.],[0.65976536 0.08315697 0.24182403],[ 0.52311777 -0.2720338  -0.94524197],[0. 0. 0.],[0.14119064 0.13135069 1.49839548],[-0.61710232 -0.25804723  0.77316534],[0. 0. 0.],[-3.11683565 -0.25921286 -1.83107438],[-0.88358625  0.36893734 -0.75151988]
[ 0.31797196  0.09870264 -0.01583843],[ 0.23509397  0.13450288 -0.01590729],[0. 0. 0.],[ 0.13607056  0.07174463 -0.0048908 ],[ 0.21240665  0.08992561 -0.00959286],[0. 0. 0.],[0.65401952 0.11090345 0.32442793],[ 0.57699783 -0.28233657 -0.89317566],[0. 0. 0.],[0.14467105 0.13204164 1.47928728],[-0.59434435 -0.24511732  0.76483706],[0. 0. 0.],[-3.11438311 -0.26755122 -1.82180738],[-0.88667107  0.37145332 -0.75354886]
[ 0.28753912  0.08869859 -0.012849  ],[ 0.26683048  0.1464297  -0.01968725],[0. 0. 0.],[ 0.13723201  0.06580944 -0.00452431],[ 0.20704979  0.09433162 -0.0098079 ],[0. 0. 0.],[0.64915871 0.1190503  0.35059417],[ 0.60133221 -0.25903302 -0.79535344],[0. 0. 0.],[0.13496427 0.12189753 1.46886376],[-0.580102   -0.24445496  0.78087654],[0. 0. 0.],[-3.11219596 -0.26745426 -1.82054613],[-0.88505106  0.37128632 -0.75466592]
[ 0.25473949  0.08446897 -0.01082368],[ 0.3018616   0.14661249 -0.02233701],[0. 0. 0.],[ 0.12951689  0.06266768 -0.00406527],[ 0.20524793  0.09254132 -0.00953717],[0. 0. 0.],[0.64516349 0.11075456 0.32869289],[ 0.59866108 -0.26037134 -0.80247809],[0. 0. 0.],[0.13139088 0.1169501  1.45433181],[-0.553747   -0.23538017  0.78857063],[0. 0. 0.],[-3.11046917 -0.26572259 -1.81986334],[-0.88340972  0.36993232 -0.75355934]
[ 0.24452649  0.08157793 -0.01002946],[ 0.30412782  0.14443323 -0.0221716 ],[0. 0. 0.],[ 0.12919778  0.06124119 -0.00396286],[ 0.20672816  0.09143845 -0.0094918 ],[0. 0. 0.],[0.63765561 0.10251579 0.30837523],[ 0.57413946 -0.30763435 -0.96715458],[0. 0. 0.],[0.13070489 0.11582486 1.44992273],[-0.56855809 -0.2470144   0.80349231],[0. 0. 0.],[-3.10956518 -0.26604708 -1.81740225],[-0.88073607  0.36633565 -0.74910103]
[ 0.22880285  0.08364511 -0.00961662],[ 0.30348615  0.13854375 -0.02121907],[0. 0. 0.],[ 0.12697866  0.05984795 -0.00380595],[ 0.24260593  0.09842111 -0.01200723],[0. 0. 0.],[0.6209654  0.07945427 0.24650375],[ 0.58357337 -0.2769958  -0.86899862],[0. 0. 0.],[0.13860117 0.12134384 1.4378428 ],[-0.57304698 -0.25327418  0.81578683],[0. 0. 0.],[-3.10870354 -0.27500999 -1.81838724],[-0.87933648  0.36714576 -0.75188024]
