lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.22225416  0.10065956 -0.01124165],[ 0.31272493  0.1389585  -0.02194116],[0. 0. 0.],[ 0.16525873  0.07619146 -0.00631305],[ 0.2229435   0.08442959 -0.00945624],[0. 0. 0.],[ 0.12787685 -0.09465375 -1.27380202],[ 0.01969438 -0.00444834 -0.44426893],[0. 0. 0.],[0.12862665 0.11356945 1.44631515],[-0.81540795 -0.36612936  0.80992315],[0. 0. 0.],[-3.10241125 -0.24061299 -1.84954803],[-0.84503603  0.3574082  -0.76405034]
[ 0.22850262  0.10073769 -0.01156941],[ 0.31676947  0.13919054 -0.02226691],[0. 0. 0.],[ 0.16504473  0.07443379 -0.00615926],[ 0.23327065  0.08630914 -0.01011879],[0. 0. 0.],[ 0.16374697 -0.11647501 -1.23550877],[-0.02698831  0.00681808 -0.49487939],[0. 0. 0.],[0.12988152 0.11432434 1.44324328],[-0.81920208 -0.37123008  0.81642605],[0. 0. 0.],[-3.10098984 -0.24136166 -1.84901657],[-0.84341433  0.35716082 -0.76506256]
[ 0.21791418  0.09889683 -0.01082708],[ 0.31405477  0.13396955 -0.0212425 ],[0. 0. 0.],[ 0.15717467  0.06950167 -0.00547541],[ 0.23796588  0.08879775 -0.01062244],[0. 0. 0.],[ 0.1736615  -0.12365391 -1.23634788],[-0.02546218  0.00648688 -0.49889297],[0. 0. 0.],[0.11562927 0.10190633 1.4445489 ],[-0.83404375 -0.37423271  0.80776809],[0. 0. 0.],[-3.09992775 -0.25118271 -1.8467421 ],[-0.84569392  0.35945685 -0.76748846]
[ 0.21253676  0.09427732 -0.01006395],[ 0.30847471  0.13340058 -0.02077014],[0. 0. 0.],[ 0.15522682  0.06704397 -0.00521593],[ 0.23014432  0.08634966 -0.00998666],[0. 0. 0.],[ 0.16720497 -0.12105706 -1.25225441],[-0.01268527  0.00314223 -0.48563214],[0. 0. 0.],[0.10279754 0.09087644 1.44765549],[-0.85048408 -0.37592645  0.79526024],[0. 0. 0.],[-3.09880073 -0.26133553 -1.84445667],[-0.8485548   0.36350883 -0.77280749]
[ 0.22468445  0.08925438 -0.01007604],[ 0.31052515  0.13597725 -0.02131552],[0. 0. 0.],[ 0.16467023  0.06533596 -0.00539354],[ 0.22822932  0.08596971 -0.0098592 ],[0. 0. 0.],[ 0.14047763 -0.10540771 -1.28676192],[-0.02189003  0.00515485 -0.46253281],[0. 0. 0.],[0.10149776 0.09004755 1.45120069],[-0.8857518  -0.4039306   0.81507162],[0. 0. 0.],[-3.09602882 -0.2624048  -1.83998264],[-0.84766907  0.36554129 -0.777624  ]
[ 0.2251626   0.08652122 -0.00978806],[ 0.31090061  0.13586102 -0.02132342],[0. 0. 0.],[ 0.16531499  0.06329724 -0.00524568],[ 0.23140731  0.08741016 -0.01016544],[0. 0. 0.],[ 0.08680343 -0.06954151 -1.35064903],[ 0.01256714 -0.00254681 -0.39989241],[0. 0. 0.],[0.1158943  0.1061743  1.48313226],[-0.94582055 -0.39191956  0.74021678],[0. 0. 0.],[-3.09447938 -0.26229563 -1.83933692],[-0.84685616  0.36621108 -0.77970062]
[ 0.22367755  0.0694111  -0.00779847],[ 0.3123735   0.1472536  -0.02322887],[0. 0. 0.],[ 0.16781409  0.04380231 -0.00368456],[ 0.23020674  0.10002214 -0.01157352],[0. 0. 0.],[ 0.07837354 -0.06434427 -1.37466055],[-0.02293665  0.00456212 -0.39266084],[0. 0. 0.],[0.10822581 0.10136009 1.505183  ],[-0.9805293  -0.36908847  0.67289328],[0. 0. 0.],[-3.08496294 -0.26239602 -1.84407397],[-0.83798395  0.3633401  -0.78240493]
[ 0.20579062  0.01700835 -0.00175632],[ 0.30891394  0.18165634 -0.0283595 ],[0. 0. 0.],[ 1.50858334e-01  3.36949871e-04 -2.54641600e-05],[ 0.20281028  0.1176286  -0.01198288],[0. 0. 0.],[ 0.14164668 -0.11279082 -1.34434313],[ 1.73552738e-03 -3.53818108e-04 -4.02223495e-01],[0. 0. 0.],[0.10292489 0.09790271 1.52070785],[-1.04156171 -0.35790171  0.61096272],[0. 0. 0.],[-3.06683262 -0.26503935 -1.844553  ],[-0.82672748  0.36235086 -0.79120971]
[ 0.22199167 -0.03877151  0.00432177],[ 0.29962153  0.24034435 -0.03644959],[0. 0. 0.],[ 0.14867556 -0.03569407  0.0026586 ],[ 0.2140336   0.14536631 -0.01564354],[0. 0. 0.],[ 0.26076259 -0.18291577 -1.22069564],[ 0.01539854 -0.00374329 -0.47692756],[0. 0. 0.],[0.10492241 0.09957017 1.51837058],[-1.0052467  -0.30566605  0.54640326],[0. 0. 0.],[-3.05078483 -0.26719885 -1.84284166],[-0.8231885   0.36244514 -0.79483195]
[ 0.22580272 -0.11746947  0.01333424],[ 0.32384548  0.30130648 -0.0495849 ],[0. 0. 0.],[ 0.12756421 -0.08790357  0.00561789],[ 0.22290491  0.1689886  -0.01895714],[0. 0. 0.],[ 0.79773373 -0.21289352 -0.49658913],[ 0.18045984 -0.07358526 -0.77278091],[0. 0. 0.],[0.06339161 0.06138863 1.53867409],[-0.9978531  -0.23674951  0.42977599],[0. 0. 0.],[-3.02526828 -0.29786853 -1.82786716],[-0.82193452  0.37583165 -0.82291312]
