lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.10394104  0.00637796 -0.00033177],[-0.44876742  0.12730652  0.02909202],[0. 0. 0.],[ 0.14125639 -0.10455511  0.00740355],[-0.57755715  0.23662697  0.07059839],[0. 0. 0.],[ 0.43675351 -0.38145327 -1.43201743],[ 0.08923517 -0.03594472 -0.7654655 ],[0. 0. 0.],[-0.0885961  -0.07599377  1.41778737],[-0.6169432  -0.01338607  0.04200406],[0. 0. 0.],[-3.1293881  -0.27590431  1.83970209],[-0.59283976 -0.19771318  0.62798446]
[ 0.11274285  0.00518484 -0.00029259],[-0.46165776  0.13276987  0.03124667],[0. 0. 0.],[ 0.14305005 -0.10030925  0.00719288],[-0.57814707  0.23313661  0.06962341],[0. 0. 0.],[ 0.43167001 -0.37991836 -1.4398979 ],[ 0.08714681 -0.03486366 -0.76074353],[0. 0. 0.],[-0.09211726 -0.07885536  1.41578471],[-0.61860309 -0.01880769  0.05884016],[0. 0. 0.],[-3.1274059  -0.2765641   1.84083235],[-0.58984693 -0.19707972  0.62924196]
[ 0.11264967  0.00568876 -0.00032076],[-0.45282283  0.13363038  0.0308267 ],[0. 0. 0.],[ 0.14330211 -0.09847179  0.00707339],[-0.56923845  0.23170731  0.06806743],[0. 0. 0.],[ 0.44143856 -0.38810637 -1.43866065],[ 0.06956867 -0.0302282  -0.81955479],[0. 0. 0.],[-0.10191234 -0.08751625  1.41886816],[-0.60802587 -0.01549684  0.04938504],[0. 0. 0.],[-3.12588044 -0.28099535  1.84243403],[-0.58452599 -0.1949687   0.62851591]
[ 0.12517756  0.00216214 -0.0001355 ],[-0.49435997  0.14565353  0.0368152 ],[0. 0. 0.],[ 0.12937477 -0.09274842  0.00601233],[-0.49335204  0.21625088  0.05465248],[0. 0. 0.],[ 0.44814492 -0.39632219 -1.44451959],[ 0.05896254 -0.02745365 -0.87134726],[0. 0. 0.],[-0.16423525 -0.1386673   1.40173805],[-0.54820791 -0.00699038  0.02485956],[0. 0. 0.],[-3.12494173 -0.28799621  1.84212258],[-0.58329319 -0.19540159  0.63114771]
[ 0.14457774 -0.0042279   0.00030616],[-0.52601738  0.15635822  0.04217851],[0. 0. 0.],[ 0.12769594 -0.09623647  0.0061576 ],[-0.42141163  0.21092878  0.04527381],[0. 0. 0.],[ 0.44326538 -0.39479271 -1.45181412],[ 0.01857337 -0.01031501 -1.01388988],[0. 0. 0.],[-0.21101509 -0.1757533   1.38783588],[-0.52253342 -0.01267787  0.04740722],[0. 0. 0.],[-3.12439228 -0.2880301   1.84336106],[-0.58282638 -0.19503456  0.63053179]
[ 0.12990174  0.003406   -0.00022153],[-0.51021218  0.15658861  0.04091438],[0. 0. 0.],[ 0.19462581 -0.11344718  0.01108664],[-0.56788549  0.24957614  0.07318104],[0. 0. 0.],[ 0.34834368 -0.34541128 -1.56217072],[-0.15942096  0.1297332  -1.36546914],[0. 0. 0.],[-0.25208527 -0.19202136  1.29977951],[-0.50884714 -0.0403713   0.15494916],[0. 0. 0.],[-3.12155999 -0.26466163  1.85134646],[-0.59910043 -0.20245769  0.63549542]
[ 0.12219632  0.01101811 -0.00067403],[-0.50247988  0.15367327  0.03951492],[0. 0. 0.],[ 0.19309904 -0.10867859  0.01053587],[-0.56793272  0.2479301   0.0727002 ],[0. 0. 0.],[ 0.31694931 -0.32454387 -1.59488377],[-0.21541013  0.18509992 -1.41872147],[0. 0. 0.],[-0.27141253 -0.1971217   1.25351902],[-0.5195062  -0.0593219   0.22236313],[0. 0. 0.],[-3.11896704 -0.26201271  1.84909944],[-0.59964148 -0.20387611  0.6391077 ]
[ 0.06869219  0.02800101 -0.00096217],[-0.45282119  0.14340242  0.03308794],[0. 0. 0.],[ 0.09746134 -0.07931052  0.00386994],[-0.49212001  0.23118059  0.05830428],[0. 0. 0.],[ 0.26903104 -0.29140609 -1.65165377],[-0.30717796  0.28172497 -1.48315093],[0. 0. 0.],[-0.26910072 -0.19553959  1.25404042],[-0.54616913 -0.06845332  0.243293  ],[0. 0. 0.],[-3.11734205 -0.25530056  1.85190255],[-0.60341315 -0.20566852  0.64039111]
[ 0.05710372  0.03359648 -0.00095959],[-0.43829953  0.14224301  0.0317322 ],[0. 0. 0.],[ 0.05278504 -0.05975407  0.0015779 ],[-0.43352952  0.21370466  0.04723423],[0. 0. 0.],[ 0.25255834 -0.27865984 -1.6701471 ],[-0.32540627  0.29211543 -1.46135755],[0. 0. 0.],[-0.36624795 -0.27146624  1.27082733],[-0.47264031 -0.04922861  0.20375421],[0. 0. 0.],[-3.1156028  -0.2489021   1.85542609],[-0.60732513 -0.20758468  0.64186572]
[ 0.06889745  0.03174631 -0.00109414],[-0.43968482  0.14249086  0.03189142],[0. 0. 0.],[ 0.08792172 -0.06861584  0.00301954],[-0.49326812  0.22657264  0.05727145],[0. 0. 0.],[ 0.25238816 -0.27864848 -1.67078387],[-0.33231072  0.2979925  -1.46019665],[0. 0. 0.],[-0.37154608 -0.27190692  1.25838329],[-0.47094036 -0.05287852  0.21956482],[0. 0. 0.],[-3.11486982 -0.24905284  1.85514075],[-0.60706782 -0.20786287  0.64294409]
