lefthip_angles_angles,leftknee_angles_angles,leftfoot_angles_angles,righthip_angles_angles,rightknee_angles_angles,rightfoot_angles_angles,leftshoulder_angles_angles,leftelbow_angles_angles,leftwrist_angles_angles,rightshoulder_angles_angles,rightelbow_angles_angles,rightwrist_angles_angles,hips_angles_angles,neck_angles_angles
[ 0.12791887  0.06986872 -0.00447668],[ 0.37829272  0.14240096 -0.02730496],[0. 0. 0.],[ 0.11659563  0.05676214 -0.00331375],[ 0.21405659  0.08489298 -0.00912622],[0. 0. 0.],[0.73610636 0.0594401  0.15388063],[ 0.49286578 -0.30075464 -1.0843067 ],[0. 0. 0.],[0.08986131 0.08118499 1.46931012],[-0.83440743 -0.37360195  0.80616642],[0. 0. 0.],[-3.10391421 -0.24842664 -1.83991669],[-0.86739349  0.35415792 -0.73749411]
[ 0.17890876  0.07317357 -0.00656612],[ 0.3735275   0.1529441  -0.02895568],[0. 0. 0.],[ 0.11224873  0.06001856 -0.00337305],[ 0.28371605  0.09776833 -0.01397392],[0. 0. 0.],[0.7270386  0.05915099 0.1552191 ],[ 0.49573174 -0.30341949 -1.08688621],[0. 0. 0.],[0.0981634  0.08927004 1.47583281],[-0.83507738 -0.36527362  0.78901283],[0. 0. 0.],[-3.10614667 -0.2519011  -1.83402355],[-0.87159085  0.35862052 -0.74241412]
[ 0.22471355  0.07725034 -0.00872059],[ 0.35254185  0.16501967 -0.02945799],[0. 0. 0.],[ 0.12157825  0.06188351 -0.00376768],[ 0.19172436  0.08166148 -0.00785664],[0. 0. 0.],[0.72613328 0.06855049 0.18002263],[ 0.49869661 -0.3091883  -1.09835337],[0. 0. 0.],[0.08675851 0.07998627 1.48951824],[-0.77830636 -0.31042142  0.72903877],[0. 0. 0.],[-3.10783315 -0.25299562 -1.83142875],[-0.87239573  0.36091426 -0.7461156 ]
[ 0.23925361  0.07985232 -0.00960334],[ 0.33696977  0.16149505 -0.02752802],[0. 0. 0.],[ 0.14206811  0.0694166  -0.00494123],[ 0.199835    0.0813513  -0.00816003],[0. 0. 0.],[0.70010847 0.04905151 0.13417985],[ 0.50270787 -0.28468442 -1.01808096],[0. 0. 0.],[0.09285296 0.0859724  1.49377908],[-0.75006466 -0.28519036  0.6994218 ],[0. 0. 0.],[-3.11082185 -0.25382367 -1.82777767],[-0.87537014  0.36291864 -0.7473261 ]
[ 0.24796218  0.08379447 -0.01044851],[ 0.31891472  0.15721902 -0.02533525],[0. 0. 0.],[ 0.12514728  0.06425648 -0.0040274 ],[ 0.17798042  0.08329479 -0.00743632],[0. 0. 0.],[0.69771681 0.05734184 0.1573648 ],[ 0.5136969  -0.29983267 -1.04381745],[0. 0. 0.],[0.12832767 0.11823543 1.48877157],[-0.73291475 -0.27337731  0.68825321],[0. 0. 0.],[-3.11409081 -0.25410971 -1.82470081],[-0.87925218  0.36516584 -0.74818521]
[ 0.24551944  0.09460195 -0.01168058],[ 0.22752132  0.1375479  -0.01573989],[0. 0. 0.],[ 0.09781415  0.05933829 -0.00290523],[ 0.1986915   0.08991236 -0.0089679 ],[0. 0. 0.],[ 0.46838186 -0.13760011 -0.56237968],[ 0.05223215 -0.029883   -1.03920099],[0. 0. 0.],[0.1457408  0.13586856 1.50048042],[-0.76136417 -0.27650139  0.6691926 ],[0. 0. 0.],[-3.11650196 -0.25186542 -1.83133633],[-0.87718283  0.36385872 -0.74752027]
[ 0.24904243  0.10212627 -0.01279397],[ 0.22589132  0.13257539 -0.01505959],[0. 0. 0.],[ 0.10722114  0.06265255 -0.00336316],[ 0.18522271  0.0876798  -0.00814862],[0. 0. 0.],[ 0.42309326 -0.14937159 -0.6705193 ],[ 0.06600749 -0.03250538 -0.91496061],[0. 0. 0.],[0.1582822  0.14597566 1.48963306],[-0.75520331 -0.29017513  0.70591769],[0. 0. 0.],[-3.1177848  -0.24707843 -1.83541134],[-0.87566745  0.36264608 -0.74654125]
[ 0.24121337  0.10286271 -0.01247728],[ 0.22587996  0.12552076 -0.01425538],[0. 0. 0.],[ 0.15107553  0.07482468 -0.00566549],[ 0.21083695  0.09144471 -0.0096825 ],[0. 0. 0.],[ 0.41395351 -0.1499715  -0.68716581],[ 0.07048215 -0.03379063 -0.89385005],[0. 0. 0.],[0.15571129 0.14310983 1.48619165],[-0.74575151 -0.29065363  0.71605235],[0. 0. 0.],[-3.11867265 -0.24732103 -1.83470543],[-0.87569007  0.36299785 -0.74719457]
[ 0.23975212  0.10399223 -0.01253738],[ 0.20908471  0.11553996 -0.01213637],[0. 0. 0.],[ 0.15221479  0.07588151 -0.00578908],[ 0.20621335  0.08942633 -0.00925937],[0. 0. 0.],[ 0.4273272  -0.1535366  -0.68136971],[ 0.0624742  -0.03014023 -0.89881167],[0. 0. 0.],[0.15999546 0.14565044 1.47663346],[-0.75513064 -0.30781209  0.74573291],[0. 0. 0.],[-3.11932793 -0.24965363 -1.8331837 ],[-0.87639784  0.36431281 -0.74908273]
[ 0.20811926  0.1008444  -0.01054071],[ 0.25489003  0.12210801 -0.01566601],[0. 0. 0.],[ 0.14688466  0.07482229 -0.00550758],[ 0.21361351  0.09362036 -0.01004474],[0. 0. 0.],[ 0.24258892 -0.12879348 -0.97321409],[ 0.08911423 -0.02952017 -0.63941873],[0. 0. 0.],[0.16261293 0.14709003 1.47023661],[-0.75221413 -0.31069251  0.75509329],[0. 0. 0.],[-3.12039733 -0.25030523 -1.83527975],[-0.87639204  0.36398752 -0.74846611]
