Elevation,Azimuth,Roll
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
0,90,270
