lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal,lt_ank_frontal,lt_ank_transe,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,rt_ank_frontal,rt_ank_transe
26.93538220303214,10.363155539814684,29.169574918736124,24.627499998056926,8.981127918609848,26.42321231810949,24.627499998056926,8.981127918609848,26.42321231810949,32.78373415605505,9.754573048706499,34.56620100192119,28.217561117044653,2.720719238717427,28.372215653972727,28.217561117044653,2.720719238717427,28.372215653972727
41.4716254495261,43.89320065931928,73.49222200520674,59.472679939476436,6.220921483425309,60.24739866054239,59.472679939476436,6.220921483425309,60.24739866054239,31.900350189106643,9.584203304465209,33.645453359846705,63.26989061241363,4.216798066012713,63.657414728672926,63.26989061241363,4.216798066012713,63.657414728672926
7.556546843324692,29.571015234069428,30.71197752288768,56.870945022689604,3.3211889473247798,57.08136555800328,56.870945022689604,3.3211889473247798,57.08136555800328,23.016076969804324,7.923172556424448,24.492673799438897,67.4816925958008,6.932327198648011,68.68701748609854,67.4816925958008,6.932327198648011,68.68701748609854
33.81869978105063,6.025698096565798,34.49817243909035,46.7034118389078,5.262386090144622,47.18650185498623,46.7034118389078,5.262386090144622,47.18650185498623,9.4933413252145,19.242241509660758,21.625001189013762,63.963570966129396,7.737115186089331,65.30506255264538,63.963570966129396,7.737115186089331,65.30506255264538
13.747282136219514,20.251815069305934,24.82633949342654,68.51570304218397,11.632841336109813,72.19722125416934,68.51570304218397,11.632841336109813,72.19722125416934,43.38491300172856,45.826028912477064,83.26383453652925,70.8778225349179,15.886265233139161,79.63288490617657,70.8778225349179,15.886265233139161,79.63288490617657
60.24094677025657,20.841948432909785,69.75154238041932,39.4426851246221,5.32799132766977,39.945316787125606,39.4426851246221,5.32799132766977,39.945316787125606,56.729720148007594,29.12151079583854,75.33320928849471,55.04151999692708,11.439167926042964,57.4820158047038,55.04151999692708,11.439167926042964,57.4820158047038
69.18134582370162,6.306679626419779,70.24437800423378,49.810243953420304,6.511071063504152,50.55923390856338,49.810243953420304,6.511071063504152,50.55923390856338,78.16601815846487,1.2850013743086237,78.23800329675394,56.815012021256486,3.1314227403336985,57.00190100214621,56.815012021256486,3.1314227403336985,57.00190100214621
32.23088714813533,8.108497874650768,33.4815443161512,71.96002558303245,6.713258389219697,73.3354030247332,71.96002558303245,6.713258389219697,73.3354030247332,42.69117984957438,1.636510050068638,42.738059035705156,63.49870155722912,3.386153418030102,63.749811322140566,63.49870155722912,3.386153418030102,63.749811322140566
3.890278224758513,2.9813646706967107,4.904101548966975,40.57102816979541,3.312170852683109,40.7644942007553,40.57102816979541,3.312170852683109,40.7644942007553,6.826759496657007,33.805128558152504,34.675385389402756,49.51102869254607,2.6034577914526515,49.63076655933713,49.51102869254607,2.6034577914526515,49.63076655933713
27.29718206220868,3.8991135566514012,27.62093346635231,50.161760074488335,5.669112526677462,50.731128458617306,50.161760074488335,5.669112526677462,50.731128458617306,35.72175314170974,29.618504717683148,49.901832305324994,72.50159887288886,4.751346749929362,73.19922209015446,72.50159887288886,4.751346749929362,73.19922209015446
80.00980026524417,8.97300014460556,85.64400939467953,55.503649111324506,7.041239038301962,56.43185442213053,55.503649111324506,7.041239038301962,56.43185442213053,39.90550816973497,18.90625283584884,45.94793908380574,67.14195341108632,5.019634446793669,67.76125351965352,67.14195341108632,5.019634446793669,67.76125351965352
18.697114685258697,8.753483011907086,20.78454432131445,81.94387135784281,6.225357292147989,84.90685939202041,81.94387135784281,6.225357292147989,84.90685939202041,55.62533425689767,18.621655874419737,62.24895791417525,72.40521336847407,5.369621606277555,73.29565619908979,72.40521336847407,5.369621606277555,73.29565619908979
19.27494896108266,8.498187253975845,21.202819317772654,67.0355443838035,3.0570306451331684,67.26322719652693,67.0355443838035,3.0570306451331684,67.26322719652693,51.395238685940505,2.0443011737339787,51.47002540777367,69.40754216936452,0.3008938813088249,69.40994194591443,69.40754216936452,0.3008938813088249,69.40994194591443
29.63485589503156,9.07838359181386,31.26755936588035,74.4647605489783,5.771601091818137,75.6269212654438,74.4647605489783,5.771601091818137,75.6269212654438,53.675074545318694,2.6090602755855383,53.799544811387726,85.17671460267518,0.859766267122875,85.25431859886935,85.17671460267518,0.859766267122875,85.25431859886935
32.157507664325784,6.231557680681583,32.902040452355955,71.4119424074267,2.6230983958513407,71.6114578058086,71.4119424074267,2.6230983958513407,71.6114578058086,54.490736574106485,0.7304278813382323,54.50058384338139,82.45829411847903,1.824354304784521,82.68476963264034,82.45829411847903,1.824354304784521,82.68476963264034
40.71905338814038,11.149329073189126,42.87535005357219,81.33819045019996,4.6012149804304885,82.67724511597851,81.33819045019996,4.6012149804304885,82.67724511597851,67.62479754639025,13.365039510035256,72.39503667929733,75.312551884438,8.588112732104635,78.17605850697525,75.312551884438,8.588112732104635,78.17605850697525
12.157782688072244,8.263643412708259,14.772085509982857,71.69326606982001,2.9538295696040655,71.94991997691046,71.69326606982001,2.9538295696040655,71.94991997691046,17.545085715419038,45.096322715773255,50.333887955060014,85.71596195085768,4.274213231651541,89.7105666745089,85.71596195085768,4.274213231651541,89.7105666745089
39.85859575596619,5.370495118279206,40.367913476845,32.5619341989059,1.539204294976869,32.607484709288535,32.5619341989059,1.539204294976869,32.607484709288535,55.04938204662428,18.227543363352016,61.31856283505449,59.87047127344243,4.349529296553468,60.25148009984262,59.87047127344243,4.349529296553468,60.25148009984262
