right_hip_xyz,right_knee_xyz,right_ankle_xyz,knee_angle_xyz
"[0.5430856943130493, 0.7434781789779663, -0.0024266564287245274]","[0.4950154721736908, 0.8394022583961487, -0.30546966195106506]","[0.5321043133735657, 0.9417803883552551, -0.031568001955747604]",37.70679063206221
"[0.5431071519851685, 0.7318437695503235, -0.0026101244147866964]","[0.49662041664123535, 0.8362031579017639, -0.3141600787639618]","[0.5322194695472717, 0.9419589638710022, -0.04528186097741127]",39.64264945766847
"[0.5430154800415039, 0.7254326939582825, -0.002725155558437109]","[0.49773281812667847, 0.8338509202003479, -0.31566980481147766]","[0.5323458313941956, 0.9416972994804382, -0.04551268741488457]",40.53748698818732
"[0.5430237054824829, 0.7129567861557007, -0.0028007107321172953]","[0.5004858374595642, 0.829896092414856, -0.3119696080684662]","[0.5327180027961731, 0.9413806796073914, -0.04604350030422211]",43.14712296716677
"[0.5430362820625305, 0.7035300731658936, -0.002800240647047758]","[0.5018293261528015, 0.8265421986579895, -0.3007354438304901]","[0.5328903794288635, 0.9408228993415833, -0.03557802736759186]",45.43292409804182
"[0.5429382920265198, 0.695614755153656, -0.0027994585689157248]","[0.5030502080917358, 0.8221699595451355, -0.27345892786979675]","[0.5329962968826294, 0.9407449960708618, -0.02838701568543911]",50.49647763577589
"[0.543304979801178, 0.6890661120414734, -0.0028243688866496086]","[0.5053766965866089, 0.8175901174545288, -0.2393888682126999]","[0.5331354141235352, 0.9407125115394592, -0.0005444831331260502]",55.376664923711246
"[0.5434785485267639, 0.6826948523521423, -0.002625422552227974]","[0.5072283148765564, 0.8143774271011353, -0.2079579085111618]","[0.5331987142562866, 0.941480815410614, 0.016627918928861618]",61.70425818441054
"[0.5435841083526611, 0.6728590130805969, -0.0016124381218105555]","[0.5101654529571533, 0.8068706393241882, -0.20937517285346985]","[0.5333619713783264, 0.9418820738792419, 0.006661244668066502]",64.4090768887109
"[0.543592631816864, 0.667931318283081, -0.0015975587302818894]","[0.5129842162132263, 0.8069495558738708, -0.17346659302711487]","[0.5335519313812256, 0.9425923824310303, 0.0328226312994957]",71.8444586540619
