0.435977 0.237178 -0.413474 0.422880 0.247468 -0.174862 0.449221 0.263967 -0.370797 0.504141 0.248211 -0.186705 0.482485 0.265192 -0.374508 0.565504 0.326857 -0.204118 0.465755 0.250226 -0.456058 0.486260 0.238892 -0.416148 0.452822 0.237371 -0.413788 0.478608 0.238196 -0.416157 0.494093 0.239893 -0.416079 0.443953 0.237135 -0.413684
0.435044 0.237362 -0.387695 0.422724 0.247469 -0.150183 0.449106 0.264334 -0.345312 0.504134 0.247983 -0.176761 0.482465 0.265400 -0.353236 0.565515 0.326869 -0.189112 0.465584 0.250356 -0.430715 0.486400 0.238924 -0.394020 0.452526 0.237415 -0.387882 0.478608 0.238247 -0.394043 0.494090 0.239898 -0.393954 0.443480 0.237220 -0.387814
0.434389 0.237419 -0.367560 0.422621 0.247460 -0.132544 0.449031 0.264526 -0.326121 0.504103 0.247761 -0.160190 0.482452 0.265496 -0.334099 0.565540 0.326886 -0.171233 0.465464 0.250388 -0.410435 0.486480 0.238928 -0.374080 0.452260 0.237420 -0.367720 0.478602 0.238256 -0.374110 0.494074 0.239896 -0.374007 0.443112 0.237237 -0.367662
0.434097 0.237480 -0.361292 0.422545 0.247457 -0.127888 0.448974 0.264666 -0.320026 0.504097 0.247706 -0.152095 0.482448 0.265582 -0.326964 0.565505 0.326897 -0.161983 0.465422 0.250417 -0.403724 0.486577 0.238974 -0.367061 0.452187 0.237433 -0.361444 0.478609 0.238303 -0.367092 0.494073 0.239920 -0.366985 0.442963 0.237262 -0.361392
0.433929 0.237591 -0.381325 0.422526 0.247458 -0.138148 0.448932 0.264777 -0.337919 0.504104 0.247705 -0.172558 0.482443 0.265683 -0.347919 0.565530 0.326863 -0.184225 0.465347 0.250499 -0.425576 0.486635 0.239162 -0.389424 0.452124 0.237507 -0.381475 0.478610 0.238488 -0.389454 0.494072 0.240058 -0.389370 0.442856 0.237342 -0.381414
0.433858 0.237705 -0.381099 0.422522 0.247457 -0.139581 0.448910 0.264895 -0.338080 0.504134 0.247706 -0.171543 0.482440 0.265789 -0.347293 0.565555 0.326815 -0.182692 0.465275 0.250608 -0.425085 0.486681 0.239377 -0.388628 0.452092 0.237613 -0.381264 0.478611 0.238704 -0.388656 0.494073 0.240222 -0.388573 0.442806 0.237446 -0.381202
0.433771 0.237708 -0.366342 0.422519 0.247372 -0.129221 0.448857 0.264908 -0.324183 0.504141 0.247675 -0.158644 0.482397 0.265809 -0.332613 0.565557 0.326793 -0.167544 0.465152 0.250612 -0.409472 0.486698 0.239406 -0.373387 0.452020 0.237615 -0.366500 0.478598 0.238731 -0.373415 0.494066 0.240242 -0.373325 0.442732 0.237449 -0.366443
0.433607 0.237712 -0.357066 0.422506 0.247328 -0.121567 0.448684 0.264910 -0.315068 0.504115 0.247643 -0.150064 0.482264 0.265814 -0.323218 0.565563 0.326753 -0.156459 0.464863 0.250614 -0.399826 0.486678 0.239426 -0.363905 0.451847 0.237617 -0.357218 0.478455 0.238750 -0.363933 0.494002 0.240254 -0.363845 0.442571 0.237452 -0.357163
0.433597 0.237715 -0.331159 0.422502 0.247276 -0.100381 0.448671 0.264908 -0.290071 0.504115 0.247619 -0.125477 0.482250 0.265817 -0.297177 0.565592 0.326577 -0.126886 0.464848 0.250614 -0.373214 0.486698 0.239444 -0.337385 0.451841 0.237619 -0.331282 0.478453 0.238766 -0.337407 0.494001 0.240269 -0.337325 0.442564 0.237453 -0.331235
0.433595 0.237717 -0.324225 0.422499 0.247231 -0.095779 0.448665 0.264910 -0.283566 0.504117 0.247601 -0.117922 0.482246 0.265830 -0.289840 0.565594 0.326506 -0.118859 0.464845 0.250616 -0.365805 0.486768 0.239458 -0.329857 0.451843 0.237620 -0.324347 0.478481 0.238776 -0.329882 0.494013 0.240283 -0.329792 0.442561 0.237454 -0.324301
