Frame,Left Hip Flexion (deg),Left Hip Adduction (deg),Left Hip Rotation (deg),Right Hip Flexion (deg),Right Hip Adduction (deg),Right Hip Rotation (deg),Left Knee Flexion (deg),Right Knee Flexion (deg)
55,-73.59611741100657,-31.772842031117193,-166.25262430035835,0.24383637308355943,0.22801803933976292,-89.75561494915448,100.66596570267109,1.3538703796673868
56,-73.79704683104742,-31.885006525570585,-166.40591085274212,0.2247712012155654,0.21222178111633244,-89.77485775664546,99.25308712118205,-0.2869458973705788
57,-73.80195700393745,-32.765673606506645,-166.27329450023498,0.20612432476397732,0.1970987750887889,-89.7936690278236,98.8955395052317,-0.9120205880502211
58,-73.75891791436217,-33.44822381129618,-166.13380029460407,0.2374290042582785,0.22717319789114815,-89.76233949734322,99.91887662226775,0.034299289620213544
59,-74.03152133930179,-33.683575380170915,-166.33649379874194,0.1862156291802441,0.18157772523182253,-89.81372513993922,98.9527571328574,-1.0586558284635823
60,-73.7888564323758,-33.364239091217996,-166.17221020869542,0.1944582490208989,0.18924817686102274,-89.80547003386937,97.85347151574726,-2.5532593358003135
61,-73.88167698682285,-33.295654854999945,-166.26282631035085,0.2406706698925265,0.2350797961528715,-89.7592628472785,98.09221950831582,-2.1854262889951417
62,-74.15380802078946,-33.60875371520683,-166.45331237072014,0.2413976055268349,0.23641864030869703,-89.75854996664324,99.20436666583898,-0.875075886295967
63,-74.2932698773222,-32.854744939626976,-166.68235637488937,0.2614821489361386,0.2539821413013948,-89.73840711609125,99.67822112609223,0.00840777437641564
64,-74.12296273147504,-32.07264271798557,-166.65409087751635,0.2808170972028903,0.27035326172994645,-89.71898040799755,99.17973692153964,-0.454729229703343
65,-73.99152723794985,-32.04176062836276,-166.5469687566512,0.2811052611841064,0.2746993501380663,-89.71882004787354,99.06235693763774,-0.4520558046989698
66,-73.9674111697218,-31.846379778968984,-166.5569761239811,0.2813577842538455,0.2762628948608181,-89.71859523599139,99.34542547292764,-0.0018503259552967368
67,-73.64903594780245,-31.475264096731962,-166.3460653421925,0.2872989322443212,0.2801200479819793,-89.71260907933075,99.17017358222192,-0.17915775681447793
68,-73.03738186266875,-30.621970524071724,-165.97348486400938,0.21492640154207768,0.20639797749606584,-89.7848974014916,101.03041438561598,1.8724543858630684
69,-71.81051435187507,-30.43784222436106,-164.96362468201022,0.21496197416900353,0.20732583550025543,-89.7848974014916,102.1161866752809,2.7774218788221625
