right_foot_index,right_ankle,right_knee,right_hip,angle_xy,angle_hip
"[0.5081507563591003, 0.9352855682373047]","[0.5253353714942932, 0.8940563201904297]","[0.5313259363174438, 0.7404109835624695]","[0.5497807860374451, 0.5860298871994019]",175.41596762928594,99.05607380524998
"[0.5081356763839722, 0.9353477358818054]","[0.5253189206123352, 0.8940674066543579]","[0.5313458442687988, 0.7404316663742065]","[0.5498054623603821, 0.5859667658805847]",175.43156546767133,99.05354177155702
"[0.5080893635749817, 0.9355159997940063]","[0.5253136157989502, 0.8941985964775085]","[0.5314027070999146, 0.7408014535903931]","[0.5498096942901611, 0.5859562158584595]",175.4940249287301,99.00634321811373
"[0.5080896615982056, 0.9357466101646423]","[0.5252596139907837, 0.8942857384681702]","[0.5314148664474487, 0.7409294247627258]","[0.5498133897781372, 0.5859531164169312]",175.5280745432044,98.99478067202998
"[0.508104681968689, 0.9359458088874817]","[0.5252525210380554, 0.8943492770195007]","[0.531413197517395, 0.7410911917686462]","[0.5498172044754028, 0.5859498381614685]",175.53670936500038,98.9880022364197
"[0.5081349611282349, 0.9360229969024658]","[0.525253176689148, 0.8943788409233093]","[0.5314170718193054, 0.741265594959259]","[0.5498205423355103, 0.5858994126319885]",175.54998149174023,98.97495032191803
"[0.5082666277885437, 0.9362577795982361]","[0.5252977609634399, 0.8944801092147827]","[0.5315195322036743, 0.7416268587112427]","[0.5498372316360474, 0.5858243703842163]",175.6254106541848,98.90918180034386
"[0.508447527885437, 0.9364893436431885]","[0.5253866910934448, 0.8948713541030884]","[0.5315807461738586, 0.7422573566436768]","[0.5498397350311279, 0.5858010053634644]",175.66765300481217,98.84455479954042
"[0.5085407495498657, 0.9368131756782532]","[0.5254481434822083, 0.8950298428535461]","[0.5316514372825623, 0.742728590965271]","[0.5498961210250854, 0.5857927799224854]",175.70119797986715,98.81115877562843
"[0.5087722539901733, 0.9370269775390625]","[0.5254949331283569, 0.8950933814048767]","[0.5316563844680786, 0.7427950501441956]","[0.5499143004417419, 0.585658073425293]",175.68918029923736,98.80633782709738
"[0.5087949633598328, 0.9371804594993591]","[0.5254875421524048, 0.8952293395996094]","[0.5316625833511353, 0.7428344488143921]","[0.5499147176742554, 0.5855620503425598]",175.70054934874864,98.7961309885292
"[0.5088454484939575, 0.9373014569282532]","[0.5254828929901123, 0.8953545093536377]","[0.5316763520240784, 0.7429254055023193]","[0.5499147176742554, 0.5855569243431091]",175.7158931558408,98.7843163576079
"[0.5088950991630554, 0.9374091625213623]","[0.5254720449447632, 0.8954688906669617]","[0.5317102670669556, 0.7429631352424622]","[0.5499013066291809, 0.585459291934967]",175.7541344660246,98.75446296644215
"[0.5089770555496216, 0.9374129772186279]","[0.5254653096199036, 0.8954973816871643]","[0.5317150354385376, 0.7429363131523132]","[0.5499317646026611, 0.5852890014648438]",175.7543284520383,98.75877981471629
"[0.5090023875236511, 0.9372679591178894]","[0.5254358053207397, 0.8955081701278687]","[0.5317147970199585, 0.7427695393562317]","[0.5499362945556641, 0.585206151008606]",175.75737327407361,98.76563088420696
"[0.509006142616272, 0.9372764825820923]","[0.5254220366477966, 0.8955292105674744]","[0.5317181944847107, 0.7426758408546448]","[0.5499503016471863, 0.5851261615753174]",175.7576555253576,98.77140671836649
"[0.5090237855911255, 0.9372949600219727]","[0.5254248380661011, 0.8955326080322266]","[0.5317527651786804, 0.7424939274787903]","[0.5499757528305054, 0.5850470662117004]",175.76567855470765,98.77272369669367
"[0.5090771913528442, 0.9373156428337097]","[0.5254241228103638, 0.8955443501472473]","[0.5317609310150146, 0.7424981594085693]","[0.5499992370605469, 0.5850260853767395]",175.76442950579496,98.77859940319134
"[0.5090571641921997, 0.9373177289962769]","[0.5254196524620056, 0.8955495953559875]","[0.5317867994308472, 0.7423961162567139]","[0.5500558018684387, 0.5849384665489197]",175.7624793772008,98.79393663539355
"[0.5090733766555786, 0.9372743368148804]","[0.5254188776016235, 0.895553708076477]","[0.5317913293838501, 0.7423713803291321]","[0.5500635504722595, 0.5848767757415771]",175.76439606553498,98.79343020856248
"[0.5090755224227905, 0.9373058676719666]","[0.5254017114639282, 0.8956037163734436]","[0.5317918062210083, 0.7423820495605469]","[0.5500662922859192, 0.5848601460456848]",175.77069495743643,98.79300289152775
"[0.5090635418891907, 0.937336266040802]","[0.5254001617431641, 0.8956502676010132]","[0.5317875146865845, 0.742363691329956]","[0.5500868558883667, 0.5847741365432739]",175.7625607478971,98.80105439499145
"[0.509115993976593, 0.9373720288276672]","[0.525398850440979, 0.8956552147865295]","[0.531785786151886, 0.7423611879348755]","[0.550175130367279, 0.5846480131149292]",175.7351740454261,98.83683619968991
"[0.5090990662574768, 0.937360405921936]","[0.5253739356994629, 0.8956593871116638]","[0.5317418575286865, 0.7423062920570374]","[0.5501793026924133, 0.5845210552215576]",175.71294267825442,98.85560235175822
"[0.5090972781181335, 0.9373834729194641]","[0.5254059433937073, 0.8957493305206299]","[0.5317434668540955, 0.7423943877220154]","[0.5501834154129028, 0.5844745635986328]",175.70630926863828,98.84935700137729
"[0.5091046094894409, 0.9373642802238464]","[0.5254347324371338, 0.895757257938385]","[0.5317366719245911, 0.7423659563064575]","[0.5502236485481262, 0.5843216776847839]",175.68085797650946,98.86469222240343
"[0.509048581123352, 0.9373458027839661]","[0.5254926085472107, 0.895787239074707]","[0.531741201877594, 0.7424142956733704]","[0.5502378940582275, 0.5843289494514465]",175.65948780145726,98.8670094285017
"[0.5088621377944946, 0.9373465776443481]","[0.5256035923957825, 0.8959218859672546]","[0.5317423939704895, 0.7426401376724243]","[0.550286591053009, 0.5843203663825989]",175.61273440140758,98.87646638972957
"[0.5088587999343872, 0.9369840025901794]","[0.5256102085113525, 0.895965576171875]","[0.5317751169204712, 0.7427389621734619]","[0.5503722429275513, 0.5842545032501221]",175.61130878462782,98.89229458858587
"[0.5088301301002502, 0.9369852542877197]","[0.5256741046905518, 0.8960164189338684]","[0.5317881107330322, 0.7427942156791687]","[0.5504332780838013, 0.5842464566230774]",175.5778940920246,98.91139513156716
"[0.5088004469871521, 0.9369815587997437]","[0.5256752967834473, 0.8960481286048889]","[0.5317903757095337, 0.7428720593452454]","[0.5504387617111206, 0.5842403173446655]",175.5813541491395,98.90826579777814
"[0.5084487199783325, 0.9369965195655823]","[0.525676429271698, 0.8961798548698425]","[0.5317935347557068, 0.7429279088973999]","[0.5504436492919922, 0.5841798782348633]",175.58523137014944,98.90265662016307
"[0.5083656311035156, 0.9369867444038391]","[0.5257031321525574, 0.8962180018424988]","[0.5318036079406738, 0.7432214021682739]","[0.5504429340362549, 0.5841714143753052]",175.59926380901942,98.88096656521435
"[0.5084789395332336, 0.936977744102478]","[0.5257018208503723, 0.8962264657020569]","[0.531807005405426, 0.7432584166526794]","[0.5505021810531616, 0.5841638445854187]",175.58346632296147,98.90469470214605
"[0.5085409879684448, 0.9369486570358276]","[0.5257116556167603, 0.8962586522102356]","[0.5317335724830627, 0.7432371973991394]","[0.550681471824646, 0.5841495394706726]",175.46148926660263,99.02348761816725
"[0.5086438059806824, 0.9369454979896545]","[0.5257349610328674, 0.8962658047676086]","[0.5317072868347168, 0.7432306408882141]","[0.5507547855377197, 0.584149181842804]",175.4071192280339,99.07048054910436
"[0.5086720585823059, 0.9369427561759949]","[0.5257623791694641, 0.8962590098381042]","[0.5316717028617859, 0.7432451248168945]","[0.5508247017860413, 0.5841771364212036]",175.34584071455245,99.1206374147713
"[0.5086796283721924, 0.9369413256645203]","[0.5257600545883179, 0.8962609767913818]","[0.531657874584198, 0.7432054281234741]","[0.5508970022201538, 0.584203839302063]",175.3075091421798,99.16471862506492
"[0.508716881275177, 0.9369398355484009]","[0.5258104205131531, 0.8962787389755249]","[0.5316551923751831, 0.7432339191436768]","[0.5509642958641052, 0.5842092633247375]",175.2639772715863,99.19617218530338
"[0.5091590881347656, 0.9366525411605835]","[0.5258423686027527, 0.8960538506507874]","[0.5317904353141785, 0.7422064542770386]","[0.5509921312332153, 0.5842078924179077]",175.28485111599642,99.20426795289062
"[0.5092929005622864, 0.9366893768310547]","[0.5258641242980957, 0.8960229158401489]","[0.5320285558700562, 0.7420908212661743]","[0.5509567856788635, 0.5839567184448242]",175.46758906512605,99.06773033494714
"[0.5096997618675232, 0.9366820454597473]","[0.5258672833442688, 0.8959987759590149]","[0.5335937738418579, 0.7420844435691833]","[0.5507751107215881, 0.5819810032844543]",176.74863580148957,98.14291307361898
"[0.5100398659706116, 0.9366893172264099]","[0.5259966254234314, 0.8959169387817383]","[0.5341802835464478, 0.7418693900108337]","[0.5504583120346069, 0.5811390280723572]",177.25800153585803,97.69035194923374
"[0.5102511048316956, 0.9366385340690613]","[0.526142954826355, 0.8958860039710999]","[0.5351822972297668, 0.7419536113739014]","[0.5501813888549805, 0.5803457498550415]",178.05818454356472,97.0544233905619
"[0.5105089545249939, 0.9366195201873779]","[0.5261813998222351, 0.8958455920219421]","[0.5360780358314514, 0.74195396900177]","[0.5499926805496216, 0.5793293714523315]",178.78908845109393,96.5083913962798
"[0.5106804966926575, 0.9366520643234253]","[0.5263916850090027, 0.8958402276039124]","[0.5369492173194885, 0.7419572472572327]","[0.5499095916748047, 0.5787040591239929]",179.38568398630923,96.04231079575013
"[0.5106457471847534, 0.9368036985397339]","[0.5265634059906006, 0.8958491086959839]","[0.5387791395187378, 0.7416885495185852]","[0.5497227907180786, 0.5783202052116394]",179.30171092635885,95.10393126631175
"[0.5107402205467224, 0.9370402693748474]","[0.5268236398696899, 0.8959042429924011]","[0.5397723913192749, 0.7414867281913757]","[0.5495036840438843, 0.5782994627952576]",178.61930943377024,94.54603686223118
