frame,rt_hip_sagittal,rt_hip_frontal,rt_hip_transe,rt_knee_sagittal,rt_knee_frontal,rt_knee_transe,rt_ank_sagittal,lt_hip_sagittal,lt_hip_frontal,lt_hip_transe,lt_knee_sagittal,lt_knee_frontal,lt_knee_transe,lt_ank_sagittal
31,1.5232992319621022,59.58870907181944,12.306598581499706,55.92828343012548,1.2722218725854067e-14,-83.73299464688628,-39.61978889435211,25.15245413229826,48.827363456593126,8.224142673130194,49.860930584169566,1.2722218725854067e-14,-93.42770795087802,-35.070038497066285
32,1.4497917266383862,59.57137300161027,12.182965349176776,55.93276706415783,0.0,-83.72177020632269,-39.25770827545985,25.0281058508661,48.63646052186643,8.092961805287604,49.611804180591314,0.0,-93.53585816659027,-34.78173098260853
33,1.496999885848262,59.486592741795754,12.134585545727024,55.81532704185961,0.0,-83.7058969795766,-39.46925924771656,25.126824663723735,48.86072934653891,8.153170843647004,49.33231553290528,0.0,-93.45133993171257,-35.430157504852694
34,1.2710524784726545,59.55051240326431,11.871882105096649,56.184838805289175,0.0,-83.80240988700703,-37.83189725901911,25.198112156995457,49.875402680218144,8.249943088675087,50.26637428173451,1.2722218725854067e-14,-93.57474806987595,-34.21060504997997
35,1.0880702909889275,60.66751715938884,11.826314275913342,58.06044494057191,1.2722218725854067e-14,-84.13742374937455,-35.7765000874526,24.9848281209577,50.97177139470306,8.167715584851845,52.635157818073175,0.0,-93.39770806769583,-31.599150861537264
36,0.7849283176094435,61.15337942460498,11.597513537434201,59.33524169723989,1.2722218725854067e-14,-84.22747283000628,-34.44676613605312,25.022371501478553,52.66197776596137,8.34644343408367,55.14011134155671,0.0,-92.85064835377543,-30.136654303424073
37,-0.38887195997564167,61.43788742160317,10.624190831516215,59.26978449689649,0.0,-83.5570462088229,-34.491339633817546,24.267961100201443,53.478576198510176,7.788981174300718,55.834713889666446,-1.2722218725854067e-14,-92.15990384913555,-29.6808590272283
38,-1.5025587449153543,60.419644213716786,9.606835829233496,58.256130881254855,0.0,-82.75507998639154,-34.981848183076195,23.273578166526736,50.977327833217366,6.712416384484628,52.42773692386016,0.0,-92.47685263769782,-30.897888040309212
39,-1.9871918137810511,59.10942639829586,9.091038608031942,57.379075706037085,-1.2722218725854067e-14,-82.38175543412132,-34.49381617560744,23.05852308221718,48.635911220575736,6.1629485833142645,49.82252504034198,0.0,-93.62051330365509,-31.155589561930448
40,-3.042524473702807,58.363070443513834,8.34577783515083,56.41184556790973,0.0,-81.32977599158075,-34.997311266315656,23.077673131272405,48.482858515613046,5.797587934329763,49.36243800933739,0.0,-94.05388364998758,-31.547899508727664
41,-3.31630067136262,58.17518362766649,8.293390422904302,55.98224367801965,0.0,-80.9718792513959,-35.44346503795501,23.677516016004176,49.1395803308076,5.94014840389854,48.74930916940807,1.2722218725854067e-14,-94.99646614849127,-32.93443779489445
42,-2.547704114154278,58.458022276713464,9.303038764810854,56.18972350933445,1.2722218725854067e-14,-81.46052510222962,-34.429650862697166,25.081515106974226,49.860702062588615,6.7576952686061,49.597528953760694,1.2722218725854067e-14,-96.92520101024098,-32.09649501220081
43,-3.208643429394004,57.425344021293,8.962777442039018,53.362667417459306,1.2722218725854067e-14,-80.11787189144259,-37.73874893057134,26.198677182933675,50.751284744871924,6.997858562643105,49.66490063475895,0.0,-98.34749122646548,-34.304163611743036
44,-3.742612368472837,59.10851114458217,9.28639105160238,58.49856677990458,0.0,-80.87878736437591,-33.462984760680385,28.435822435972693,55.530354329318456,8.084504244018303,59.06470356532846,0.0,-97.50261762014041,-28.774195148153723
45,16.473597600979435,80.3051580049373,31.50701009362574,86.3946639751054,0.0,-87.96266395260167,-26.246640674002315,39.773903045494336,75.15403819139435,19.683462346101347,84.20204625259669,1.2722218725854067e-14,-90.03559673371487,-21.834788604387874
46,115.3225875853314,83.3089055191863,131.47142212545705,100.92696760397916,0.0,-91.23752482048907,-22.93704718722318,84.18181329489984,84.39870269566481,63.67504641297036,96.6808784730254,0.0,-86.94864193448372,-19.28945280504376
47,158.09359615716053,57.05830042240345,170.30155994142376,132.89116883102614,1.2722218725854067e-14,-97.85053279631467,-18.110766444358998,-177.8838746667652,63.38638766868421,167.41705029150646,128.94988629105626,1.2722218725854067e-14,-79.1061721757126,-14.640991246272769
48,154.252905853314,59.905958311499084,168.63575083897152,129.25183131774472,0.0,-97.60897472949978,-18.583830570897632,-177.76881808064192,65.02413949899608,165.80849144525286,128.0566208656655,0.0,-79.21940761475133,-13.74788348857769
49,153.78120386987734,60.14080485923979,168.69527529515088,130.6983493986423,-1.2722218725854067e-14,-97.75350656212842,-17.484264169506844,-176.64111651883823,66.24121669480112,165.18798166283568,128.5669159838675,1.2722218725854067e-14,-78.3961471437687,-12.204209124466558
50,158.23306364746753,52.92390119710696,171.0764886270377,139.7862541166265,1.2722218725854067e-14,-98.65820509759065,-15.846557450899505,-175.57701990793075,59.081548994218394,168.71420451248537,137.1710408588341,1.2722218725854067e-14,-76.89177580767543,-11.001845583580902
51,160.90961189073047,48.26844466365526,172.27595778515084,145.32227541395102,1.2722218725854067e-14,-98.11239322329455,-15.223694606153567,-176.3612747459296,52.47267747111734,171.02071503617626,144.33781711155066,0.0,-76.73837632868704,-10.890533171336726
52,160.54150973090574,47.652844086752616,172.16275543058782,145.50788760509272,1.2722218725854067e-14,-98.09273721328121,-15.265214601766681,-175.92122330423877,52.620470587272514,170.63775699736598,143.28240720959786,0.0,-77.23462095690891,-11.34863523336443
53,160.70086954756164,47.17245176775403,172.314558248748,146.9090873203269,0.0,-97.57266037838336,-15.131919706147137,-176.53561495088493,50.32007302488976,171.406934069647,146.6298319632624,1.2722218725854067e-14,-77.27511313847324,-11.19619876075782
54,161.8400591141943,45.496606024108566,173.0316929394357,149.63343521089075,1.2722218725854067e-14,-97.54965585390123,-14.040813931419104,-176.38153885760133,47.77984818367725,172.44919562576848,149.8719032651774,0.0,-76.6434292695548,-10.355411518385962
55,161.59462994105564,45.29480802739364,173.06468625965988,150.18326982391042,-1.2722218725854067e-14,-98.07087736088766,-13.30566457996511,-175.92290902913476,47.72135427185602,172.44713870980485,150.18691994113,0.0,-75.8232865180528,-9.618288322884169
56,162.5104355708664,43.21985285554815,173.97653421292196,152.84180426701334,1.2722218725854067e-14,-98.07862706452983,-12.132547230135291,-175.7496988701846,45.380758244472645,173.50238814400848,152.3880919486759,0.0,-75.5571110881583,-9.144364978837798
57,162.68675801327439,42.360708372799316,174.24010329970517,153.4193897634102,1.2722218725854067e-14,-97.45175137385189,-12.173693886922285,-175.63529878216383,44.113507416973015,173.87456261189627,153.30811515718173,0.0,-75.55848739506615,-9.196733759731154
58,162.50317113507552,42.04030262831886,174.42872090682675,154.09445285946606,0.0,-97.46819021933975,-11.48719106070984,-175.1682424200422,43.625338114542586,174.1097146107297,153.7512847645452,1.2722218725854067e-14,-74.71384849385034,-8.827720376494778
59,163.73822077550656,39.595239169522735,174.98535103077117,156.9912625225191,0.0,-96.88671540531766,-10.710096113977194,-175.8133725211284,41.44611984293217,174.6453772628984,155.988676372502,0.0,-74.65939814329137,-8.352039787249666
60,163.6850282237738,38.90979839352175,175.22150549318866,157.49490098175443,1.2722218725854067e-14,-96.48861760628525,-10.61671210422894,-175.7586443857596,40.97326923898095,174.85774324704536,155.9259558660227,1.2722218725854067e-14,-74.72241945007993,-8.5300576284745
61,163.3973475950108,38.9019165508957,175.24207952794734,157.2371032545413,0.0,-96.78736224636599,-10.640085197305254,-175.26758504970593,40.823194458440355,174.90555356596525,155.77556191194083,0.0,-73.73080426183165,-8.375298034137394
62,163.37314744351937,38.544661021243414,175.12191659270428,157.53127351611678,-1.2722218725854067e-14,-96.75581948488646,-10.569514334770288,-174.98194945140827,40.34744125159428,174.79791238158492,156.24307656711704,0.0,-73.01391098399299,-8.108116781487157
63,163.5039913092056,38.064236836117225,175.08626379864072,158.17986315890775,0.0,-96.9312027179919,-10.274997066103587,-175.23118560795083,39.59455921276332,174.80931447572172,157.32707550673481,0.0,-72.64966413588894,-7.699439584920046
64,162.98703658482083,38.70329529778372,174.82015484741535,158.44848896515515,0.0,-97.18849023022437,-9.916282952568618,-175.54543225389435,40.239829470061686,174.5282978892437,157.38997166616815,1.2722218725854067e-14,-72.33721392576845,-7.518428541036504
65,163.4898680454903,37.836242307795544,174.98674499132008,159.55389123270666,0.0,-97.52926966606944,-9.444447524984591,-175.547673741084,39.46396268121121,174.68520045368533,158.14579698979304,0.0,-71.72898364658666,-7.223173999226324
66,163.7100174345687,37.273963023518846,175.2216137039738,160.17299105871535,0.0,-97.57890789407544,-9.120887937054237,-175.54159334202492,38.967632214715884,174.92092059470738,158.47468302545641,0.0,-71.28171047479876,-7.034542244494933
67,163.06768014292405,37.332202415842076,175.10974816795252,159.82188216129364,0.0,-97.78841212028554,-9.2032495022133,-175.48187632339403,38.85668649895005,174.83352294763105,158.41391571175552,0.0,-71.02947330604884,-6.9922070055482
68,163.6400991215029,35.991801992587575,175.40553146042458,160.67672675383753,0.0,-97.31168051183678,-9.143743666615482,-175.65264459065696,37.2335800241966,175.192237312518,159.45475541786803,1.2722218725854067e-14,-71.30273209646208,-7.052510326952466
69,162.81037866633486,36.26846534577616,175.1074801311591,160.5226689199525,0.0,-97.80636634929688,-9.201633782694865,-175.7454324112798,37.886937337340584,174.81071911663872,159.1323327660276,0.0,-71.37283078803434,-6.912883420243883
70,162.71355941074538,36.123696517069185,175.87802492382517,160.98944107933315,0.0,-97.97062187965642,-8.938441272848108,-175.77885635948533,37.69990002875878,175.63449508414192,159.4591445633533,0.0,-71.11686189034533,-6.7503924426164765
71,163.20050000191915,34.79878874565714,176.38072974527682,161.14686150029914,0.0,-96.72717051026122,-9.258015224246972,-175.22063018454796,36.414130143953784,176.15825885394443,159.7814358340533,0.0,-70.91454449466495,-6.5788204974913675
72,163.46193856236908,34.41834039860345,176.4599972173077,161.30373401049775,0.0,-95.72223142730518,-9.614870598332475,-175.355288588422,35.45287136403849,176.32099544735473,160.76191188462067,0.0,-71.28526227938556,-6.693667239783608
73,163.5142542017953,34.017400959264144,176.41907791423355,161.4833470536082,1.2722218725854067e-14,-95.46274691700711,-9.640012563563529,-175.46084677753188,34.73599362457512,176.32126030955118,161.37712400484077,0.0,-70.96187036765012,-6.585082498339238
74,163.31247542549045,33.740654119298284,176.5342432083437,161.80089450327634,0.0,-95.6449387981565,-9.389792664879272,-175.27542616833568,34.512476989445226,176.43210878648634,161.50990012887343,0.0,-70.0239103793665,-6.308562033444801
